baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_id,gene_name,nlog10padj
20.10189,-0.29071534701101037,0.582639337138444,-0.49896278620461904,0.6178056007594369,0.7749128230038872,ENSG00000227232.5,WASH7P,0.11074715248454944
38.42923,-0.22752397369870797,0.4186457739941874,-0.5434761027872385,0.5868020401429614,0.7508831465722169,ENSG00000233750.3,CICP27,0.1244276432188282
104.8902,0.33981486628361574,0.2645815145144797,1.2843484810614718,0.19902005057362315,0.3719071902840775,ENSG00000279457.4,WASH9P,0.4295654251083263
97.643814,-0.3279583838034508,0.2730671595776623,-1.2010173039873622,0.22974448907485312,0.40970159747058577,ENSG00000228463.10,AP006222.1,0.3875323426826696
29.95771,-0.5460621162691619,0.37637088397755053,-1.4508617417433731,0.14681836304209664,0.29740655287734785,ENSG00000237094.12,AL732372.2,0.5266494667248907
20.048065,0.340855760326393,0.33048723673537483,1.0313734463498219,0.30236572807570594,0.49419950637589444,ENSG00000230021.10,AL669831.3,0.30609769272255183
15.427246,0.04963623346440163,0.8787948458896899,0.05648216269879237,0.9549577049430095,0.9775857577540709,ENSG00000225972.1,MTND1P23,0.009845134202455015
709.847,-0.5963984706714216,0.2926179962355714,-2.038146929935548,0.041535241023991316,0.10918608451725063,ENSG00000225630.1,MTND2P28,0.9618327078076885
8.66063,-0.9132371679702144,0.8748214236604626,-1.0439126697983814,0.2965257958056251,0.48752615833213886,ENSG00000237973.1,MTCO1P12,0.31200207716641826
1921.7631,0.2689138245836177,0.07614064212653732,3.5318040020822603,0.000412735146543043,0.002033004203331799,ENSG00000248527.1,MTATP6P1,2.6918617234367677
5.04433,-0.19761297569740194,1.2282795795704584,-0.16088598962665257,0.8721831972093197,0.933604549125469,ENSG00000198744.5,MTCO3P12,0.02983704079379667
54.139225,0.26644474267514784,0.22742395606815774,1.1715772923908498,0.24136680925452692,0.4236280119340421,ENSG00000228327.3,AL669831.1,0.3730153303724839
1758.0039,0.2581355002798383,0.10739388948668616,2.403633032695402,0.016233059426986232,0.0507187022475532,ENSG00000188976.11,NOC2L,1.2948318673884893
18.766516,0.16431616437405136,0.645424894499233,0.25458603436971494,0.7990428468047126,0.8947011697174644,ENSG00000187961.14,KLHL17,0.04832199486692841
4.9007607,2.3453946540640995,1.3081911116517413,1.7928532254761842,0.07299639619129562,0.17236207572524218,ENSG00000187583.10,PLEKHN1,0.763558284422435
11.77576,-2.2290499981615666,0.5376606052542449,-4.14583098776134,3.385835129928972e-05,0.00020590189671574761,ENSG00000188290.10,HES4,3.686339652753562
206.58879,-0.7628011225709588,0.22620554898313977,-3.37215919768535,0.0007458132502101739,0.0034555458474468193,ENSG00000187608.9,ISG15,2.461483340530037
159.7382,-0.2877594061665708,0.1141679872674312,-2.5204911906917724,0.011719117165774399,0.03847878416158814,ENSG00000188157.15,AGRN,1.414778659094083
16.480726,-0.1348090203518422,0.629925756340777,-0.21400779218005694,0.8305409806702828,0.9116168525829735,ENSG00000217801.10,AL390719.1,0.04018765484297874
105.38071,0.6068796931568167,0.19301484705495298,3.14421249150866,0.0016653446533645825,0.007078812002412966,ENSG00000131591.17,C1orf159,2.150039621418688
16.1622,-1.1271705380756574,0.38127782179595526,-2.9562971503726074,0.003113569626653842,0.012238444814651278,ENSG00000186891.14,TNFRSF18,1.9122737661223872
1539.1685,0.5720874886165559,0.554887435527068,1.0309973734999966,0.3025420514824354,0.49428266644546154,ENSG00000078808.16,SDF4,0.3060246191550037
53.057507,0.3690121758067825,0.3598455263821995,1.0254738457269215,0.30513966002697857,0.49729508307529147,ENSG00000176022.6,B3GALT6,0.30338583476300024
643.86475,-0.11094992590453352,0.06614475536510843,-1.6773805465317355,0.09346809095489239,0.21006081565276635,ENSG00000160087.20,UBE2J2,0.677654952510241
8.677855,0.3743795278890324,0.8751801827043293,0.42777422899612516,0.6688155012700419,0.8139273823303091,ENSG00000162572.20,SCNN1D,0.08941434063912963
71.51463,0.895726542898492,0.3421883460633636,2.6176418723875203,0.008853967412211224,0.030298017669886407,ENSG00000131584.19,ACAP3,1.5185857854644569
243.74086,-0.24475617988325055,0.18642244221217735,-1.3129115624645689,0.1892127502683657,0.35870605758072305,ENSG00000169972.12,PUSL1,0.4452612891961599
1130.1431,0.0718213630601297,0.05716851400398323,1.2563097766565272,0.20900367864092195,0.3842224229341473,ENSG00000127054.20,INTS11,0.41541729363255797
45.88038,-0.02595827178880936,0.2126638504145397,-0.12206245555231708,0.9028495556141267,0.9503817367146239,ENSG00000224051.7,CPTP,0.022101918028149082
70.99436,0.6225258975299547,0.38502524540430405,1.6168443627021338,0.10591188064741329,0.2307048108460161,ENSG00000107404.20,DVL1,0.6369433491195924
3505.7336,0.28149437253956006,0.1233380045829971,2.282300362254813,0.022471613179501203,0.06609887272819442,ENSG00000162576.16,MXRA8,1.1798059470514153
1023.3441,0.11187746317810142,0.0778821698701562,1.4364964839143746,0.15086111614054568,0.30322624783940194,ENSG00000175756.13,AURKAIP1,0.5182332080583623
1173.625,0.26571874303656495,0.29662161420802213,0.8958171970914268,0.3703504036077857,0.5682882091723697,ENSG00000221978.12,CCNL2,0.24543135459137477
1405.6453,-0.0635143729718446,0.05327419436744267,-1.1922164891649678,0.23317636954591014,0.4137882861037203,ENSG00000242485.6,MRPL20,0.383221807900644
46.418663,-1.0412944827774346,0.38857920627493026,-2.679748339494756,0.007367752874504973,0.025827167526277273,ENSG00000235098.8,ANKRD65,1.587923220429846
