gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,celltype,nlog10padj
0610030E20Rik,2.7348652,-0.0844209519427549,0.6929090075719853,-0.12183555274966539,0.9030292566591356,0.9835480287449058,Oligodendrocyte,0.007204427702355065
1110002L01Rik,3.1570086,-0.2540835609750311,0.7747151867741724,-0.32797028548389073,0.7429341298400289,0.9410346806921138,Oligodendrocyte,0.026394370881275404
1110004F10Rik,3.3062809,0.3707574134659296,0.7274028803510072,0.5097002273169734,0.6102614937193263,0.8997652030504709,Oligodendrocyte,0.04587080647538875
1110019D14Rik,4.757956,-2.3563251436752948,0.7999310293772247,-2.945660384633134,0.0032226602438123705,0.04638815167853863,Oligodendrocyte,1.333592931464927
1110059E24Rik,12.936277,0.10271516745826748,0.4317565720610945,0.23790064611624037,0.8119581543711168,0.9639042720600713,Oligodendrocyte,0.015966094915038097
1500004A13Rik,45.900097,0.2705001021874468,0.21632289256012818,1.250446029942299,0.2111366588295165,0.6284902873507744,Oligodendrocyte,0.20170142948567132
1500015L24Rik,13.991733,-0.11888126638470417,0.35880179179935673,-0.3313285192599679,0.7403963514767736,0.9410346806921138,Oligodendrocyte,0.026394370881275404
1600020E01Rik,7.708445,0.8144657670670834,0.49487866230943184,1.6457888147091375,0.09980724594127303,0.4418902758930587,Oligodendrocyte,0.3546855552886959
1700025G04Rik,19.542606,0.16395622706010587,0.31895891423168543,0.5140355692990958,0.6072271226033724,0.8974491963856062,Oligodendrocyte,0.04699012698795183
1700028E10Rik,4.5069222,-1.7134704466828081,0.7239270518576042,-2.366910370714874,0.017937276189697895,0.1601038975185262,Oligodendrocyte,0.795598095624823
1700030K09Rik,2.800001,-0.32073011557627074,0.8917712073681866,-0.35965515922275176,0.7191050288140354,0.9345914638163987,Oligodendrocyte,0.029378189965209273
1700036A12Rik,3.523555,2.7779507610497727,0.9800529510890913,2.8344904813181304,0.004589882528176934,0.060377226521001796,Oligodendrocyte,1.219126840539307
1700047M11Rik,41.020855,-1.1671230895605746,0.18170720157631692,-6.42309759566895,1.335288201779451e-10,1.7421249475131053e-08,Oligodendrocyte,7.758920700034739
1700063D05Rik,3.089547,-3.191655822426552,1.2275647219150032,-2.5999898542600373,0.009322651669620312,0.10135904262076552,Oligodendrocyte,0.9941375002011961
1700094M23Rik,3.756521,0.43621373478882614,0.6736859695390275,0.6475030719243081,0.5173064069998836,0.8617557423861142,Oligodendrocyte,0.0646158139504259
1700109H08Rik,3.4635172,-1.7152520347741178,0.8745469435538357,-1.9613035611375729,0.04984362212789107,0.3017187471749536,Oligodendrocyte,0.5203977042708691
1700110C19Rik,3.3778608,-0.05913238982350889,0.9489352717721523,-0.062314460830482324,0.9503124127799335,0.9946902193608017,Oligodendrocyte,0.0023121523895457876
1810013L24Rik,8.374746,-0.05357889948641851,0.3844048040431341,-0.13938145133172275,0.8891487289747069,0.9819766066487642,Oligodendrocyte,0.007898858164545912
1810062O18Rik,3.906515,0.5514639562828328,0.5043704050140525,1.0933709646732113,0.2742309564729537,0.6990695166648591,Oligodendrocyte,0.15547963512300056
2010315B03Rik,5.4076233,0.5084489805801531,0.4841151983201572,1.0502644460335726,0.29359654679091274,0.7212876702411366,Oligodendrocyte,0.14189149161695536
2210408F21Rik,2.7138212,-0.7715956941551135,0.8862176379384981,-0.8706616310977338,0.38393893425275094,0.7821809505564468,Oligodendrocyte,0.10669276517877425
2210408I21Rik,28.158895,-0.21510642172048525,0.2659218813068741,-0.8089083179742257,0.41856788402630785,0.7995820139717507,Oligodendrocyte,0.09713698358928016
2310022B05Rik,4.6878767,-1.3834822895676464,0.7326271070905276,-1.8883853411619609,0.05897423782203998,0.3302557318034239,Oligodendrocyte,0.48114963618430096
2510009E07Rik,9.445015,0.19437976742092936,0.46200988611248384,0.4207264243986425,0.6739548632537781,0.9181133005439245,Oligodendrocyte,0.037103721015798403
2510039O18Rik,2.637792,0.3833406208172875,0.9137129193343306,0.41954164454253695,0.6748203261955814,0.9181133005439245,Oligodendrocyte,0.037103721015798403
2610008E11Rik,11.063939,-0.958631202610418,0.4246075657682314,-2.2576875211255163,0.023965147774100356,0.19366165705161015,Oligodendrocyte,0.7129563564583246
2610020C07Rik,3.5466726,0.7547425054402622,0.7147458113311537,1.0559593263437503,0.29098679777997105,0.7177518278305641,Oligodendrocyte,0.14402569285344582
2610021A01Rik,6.0945573,0.7556046716425728,0.4122844380786247,1.8327266368915804,0.06684323396596513,0.3564171039721996,Oligodendrocyte,0.44804146293339964
2610035D17Rik,54.961353,-0.4546574783166745,0.17652782601579992,-2.5755570018518266,0.010007877587391169,0.10635754829442401,Oligodendrocyte,0.9732316823829209
2610037D02Rik,7.2185535,0.4869940219051606,0.5227111838162336,0.9316694132115032,0.35150739831534117,0.7635267823103683,Oligodendrocyte,0.11717572454651863
2610044O15Rik8,4.110577,0.6598962090078524,0.7488682139392169,0.88119137215966,0.37821424831855355,0.7790284577365435,Oligodendrocyte,0.10844667735669215
2610316D01Rik,10.677798,1.3256950498117852,0.4510709509779661,2.938994512809012,0.0032927890364751527,0.047286609769708755,Oligodendrocyte,1.3252618217656529
2700049A03Rik,7.2483606,-0.1082098144118733,0.5091835712971586,-0.21251631142812782,0.8317042537208719,0.9695837421704157,Oligodendrocyte,0.01341467529915052
2700097O09Rik,4.2885294,0.09307113052078211,0.649894942502648,0.1432095011578012,0.8861247263300197,0.9819766066487642,Oligodendrocyte,0.007898858164545912
