"logFC","logCPM","F","PValue","Gene_ID"
1.06587503414841,1.27784251838189,4.3543256693061,0.0714055504538467,"ENSG00000228049.7"
-0.279818823376722,1.93209658355489,1.06144958667229,0.333886196172978,"ENSG00000222011.8"
0.754842970804903,-0.400281584805795,2.27685276686047,0.17085897969707,"ENSG00000161040.16"
-0.944385199147314,7.86102026987393,29.2344838654864,0.000707036927906989,"ENSG00000128606.12"
-0.52568254942131,3.57768111094737,2.80923939958999,0.133369033005028,"ENSG00000170632.13"
0.0185368935650791,3.19041081687524,0.00989181541262618,0.923293090332901,"ENSG00000161048.11"
-0.70531099847381,0.951215889056599,1.94843584539337,0.201350181811844,"ENSG00000170629.14"
0.0544944837039754,5.92862915681934,0.129486809516834,0.728549131827186,"ENSG00000105819.13"
0.31818869679913,4.78582719769906,3.56745351443389,0.0966976719489279,"ENSG00000105821.14"
0.330635385104468,7.08955573317394,3.57272935060928,0.0964921159463369,"ENSG00000161057.11"
-0.346777725866749,4.0151091222278,3.87960266137118,0.0854552353090672,"ENSG00000164815.10"
2.26619301013035,-0.910072659772322,0.44206900638129,0.528116827874184,"ENSG00000243352.3"
-0.301307832753221,0.793825798702321,0.32735208113242,0.583392625392922,"ENSG00000239569.3"
0.150319721685497,5.61909371930154,1.02881251158461,0.340978627796655,"ENSG00000005483.20"
0.167254575791174,5.48617285863305,1.3729991359195,0.275972920589087,"ENSG00000135250.16"
-0.0885428970948925,4.50550492952517,0.137612837196413,0.720575949370792,"ENSG00000091127.13"
-0.228672576788479,4.76832276243396,1.78733509167768,0.219070311225652,"ENSG00000135249.7"
0.316548866991488,2.00824571159942,0.751156043685508,0.412074541333714,"ENSG00000146776.14"
-0.491390138008489,6.76001646056798,6.64753078803687,0.0334959773621711,"ENSG00000008282.8"
-1.17830855215866,6.11783974826148,16.6357356767587,0.00376614543009385,"ENSG00000105835.11"
0.0575606938995535,1.95004833872263,0.0220635539713998,0.885700741355304,"ENSG00000253276.2"
-0.277065748085962,5.95605582135768,1.35810680503691,0.278393724236158,"ENSG00000105856.13"
0.203447898253506,4.79798085491981,0.633059874448277,0.449857279500096,"ENSG00000164597.13"
-0.41781367362285,2.09615373183694,1.87484097067855,0.209189830742389,"ENSG00000105865.10"
0.113809272093706,5.57643665689068,0.389868639216707,0.55025837728768,"ENSG00000075790.10"
-2.31333212364816,1.02889446275962,24.4400637245805,0.00123095004811426,"ENSG00000091137.12"
0.18363711042532,0.797382409988704,0.321472421989894,0.586726015410944,"ENSG00000241764.3"
0.211857636215546,5.02983500766221,0.752181640650446,0.41176969418782,"ENSG00000105879.11"
0.576990942799536,6.53949711727394,8.3942273258647,0.0206058441944663,"ENSG00000091140.13"
-1.26141358076799,7.20251036621485,22.6576283627512,0.00154662786804582,"ENSG00000091136.13"
-2.13442798404128,3.92982196997689,13.2296162903958,0.00695299980656169,"ENSG00000091129.19"
0.182171058532244,5.44026288664676,0.622554372960654,0.453500719611636,"ENSG00000135241.16"
-0.11754564087691,4.72408495104741,0.28494465103224,0.608406740320708,"ENSG00000177683.13"
0.552030955133238,5.07468183018051,5.44457212391581,0.0488268624090197,"ENSG00000128590.4"
0.458753378445518,2.55677378912916,3.79410925995135,0.088357164050075,"ENSG00000184903.9"
3.31173866321872,1.75327914182664,122.362186353046,4.99409845558295e-06,"ENSG00000173114.12"
0.992038914892227,1.83880419448057,3.3808030886665,0.104353566596731,"ENSG00000128512.20"
-0.336592915503097,3.2618298169643,1.92362447637446,0.203947315863326,"ENSG00000198839.9"
0.777706744473994,4.9391427501028,17.4001331010467,0.00332338342255953,"ENSG00000006652.13"
-0.494667364525784,4.27990622896694,2.33017320762911,0.166511386212876,"ENSG00000146802.12"
-0.464930357115911,4.23344890222247,1.01592746898779,0.343841822883761,"ENSG00000164603.11"
1.37297743369865,1.1911573632966,15.1828273715151,0.00483391197416994,"ENSG00000234520.5"
-1.52767559836179,1.10046861127115,8.73551300459829,0.0188720277467315,"ENSG00000164604.12"
0.0205113259379448,5.73217161289502,0.013315109769463,0.911061475630102,"ENSG00000214194.8"
8.74587451559561,0.0996718386703975,112.079429628054,5.38391283727724e-05,"ENSG00000154415.7"
0.590744949817723,0.0117473163900695,1.51437648229022,0.254424184069142,"ENSG00000128573.24"
-0.484846522796151,2.64534926801836,1.71116841932841,0.228205462180615,"ENSG00000135272.10"
-0.109854426988178,3.86377666706005,0.288044104083325,0.606497995613848,"ENSG00000135269.17"
-0.37442790226609,-0.200171531002484,0.603774256306543,0.460142056051853,"ENSG00000237813.3"
-0.568992662976181,7.06280524490807,9.63627279338663,0.0151074809283121,"ENSG00000105971.14"
-0.96676412673627,10.0547382737773,14.4049749055563,0.00556391270120601,"ENSG00000105974.11"
-1.3550238554975,5.75636861906882,10.3603688452906,0.0127489819495399,"ENSG00000105976.14"
0.44411518745474,7.61536159716386,4.20221650600809,0.0755575805302854,"ENSG00000198898.13"
-0.0212106830424175,3.55155064491625,0.00975383240005695,0.923827996811008,"ENSG00000004866.20"
-0.140957629541834,4.55762792931421,0.218117034304368,0.653294955413624,"ENSG00000128534.7"
-0.47507285577951,-0.414613971897964,0.554350112587653,0.478457548171371,"ENSG00000106013.14"
1.71558251845717,0.363594629393641,1.885303821182,0.208049929615467,"ENSG00000184408.9"
1.93698381883117,3.94273961191188,70.7993100885772,3.60577278690971e-05,"ENSG00000106025.8"
0.124545779297624,4.04604897009239,0.323131147011074,0.585781482757153,"ENSG00000071243.15"
-0.235615924804947,4.77578668560071,0.687921204316039,0.431614446740244,"ENSG00000106034.17"
0.301624165110193,5.06614503502478,1.81324770984897,0.216078310919427,"ENSG00000196937.10"
1.97043346203969,3.47934831475916,30.1194349260684,0.000643486880892072,"ENSG00000008311.14"
2.26619301013035,-0.853559382407244,1.47576911620345,0.265104404650548,"ENSG00000081803.15"
0.654110748567377,-0.950410560629139,0.419639063307776,0.535785400886961,"ENSG00000164675.10"
0.41898592540184,5.91844463603823,3.54994149056327,0.0973840849104672,"ENSG00000128609.14"
6.23733298132885,4.96725222246898,485.716684380232,1.48279551164662e-07,"ENSG00000170807.11"
0.0180452331191423,4.88288171104939,0.00287707855334712,0.958576708398812,"ENSG00000106299.7"
0.523050718568834,1.26375511245241,2.78890284633367,0.134587582060901,"ENSG00000272686.1"
