gene_name,L_15_1,L_15_2,L_16_1,L_16_2,L_13_1,L_13_2,L_11_2,L_11_1,L_12_1,L_12_2
Gnai3,57.73,55.04,63.11,59.25,58.8,71.95,131.05,106.4,76.94,74.39
Pbsn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cdc45,37.04,35.32,32.97,28.48,40.07,44.44,59.15,48.64,45.48,46.76
H19,536.21,447.09,503.78,594.44,357.3,320.31,340.88,438.91,274.34,280.07
Scml2,0.48,0.51,0.39,0.54,0.59,0.75,2.11,1.47,1.28,1.1
Apoh,637.99,511.42,829.8,958.06,111.37,127.32,8.13,6.34,30.75,30.36
Narf,118.37,101.94,102.19,100.34,87.39,101.22,68.79,59.42,101.58,100.15
Cav2,2.56,2.43,2.79,2.56,2.08,2.9,2.61,2.75,2.72,2.68
Klf6,18.48,17.86,16.47,18.22,18.05,19.82,19.76,22.99,22.04,20.62
Scmh1,10.69,11.11,8.62,8.15,11.12,11.44,17.39,24.67,16.77,17.93
Cox5a,215.97,249.31,235.03,225.53,357.42,371.54,408.75,378.39,370.61,347.32
Tbx2,0.49,0.39,0.15,0.22,0.22,0.23,2.07,2.3,0.93,1.15
Tbx4,0.01,0.02,0.01,0.01,0.05,0.04,0.61,0.63,0.1,0.29
Zfy2,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ngfr,2.77,2.34,2.01,1.89,1.52,2.34,8.53,8.35,3.99,4.95
Wnt3,0.0,0.0,0.0,0.0,0.04,0.09,0.33,0.34,0.03,0.1
Wnt9a,0.29,0.17,0.19,0.27,0.19,0.34,0.63,0.41,0.27,0.42
Fer,6.76,6.96,6.65,6.43,8.11,10.74,20.16,18.04,14.32,12.23
Xpo6,18.1,14.16,10.45,15.02,16.89,17.74,45.18,43.54,33.38,31.74
Tfe3,10.23,7.97,8.17,9.65,7.71,8.72,12.3,11.6,11.83,12.59
Axin2,0.33,0.09,0.09,0.14,0.37,0.44,1.29,1.69,0.34,0.71
Brat1,6.49,6.25,6.19,6.64,6.93,7.11,14.39,12.36,10.22,8.84
Gna12,16.37,12.24,1.65,2.07,6.09,4.57,19.29,22.7,28.33,28.27
Slc22a18,14.12,11.19,11.15,12.16,5.82,5.37,2.17,3.81,4.31,3.77
Itgb2l,6.03,5.04,5.82,7.15,0.74,0.49,0.78,0.22,0.48,0.58
Igsf5,3.24,2.25,3.24,3.77,1.49,1.63,0.64,0.38,0.89,1.13
Igsf5,3.24,2.25,3.24,3.77,1.49,1.63,0.64,0.38,0.89,1.13
Pih1d2,0.65,0.89,0.77,0.47,1.86,1.53,3.26,2.38,1.62,2.01
Dlat,20.17,21.39,18.52,19.07,29.23,39.04,64.42,56.38,39.55,40.03
Sdhd,280.11,257.22,272.73,261.12,304.02,319.3,410.03,366.56,295.03,287.76
Fgf23,0.0,0.01,0.0,0.0,0.0,0.0,0.1,0.22,0.02,0.02
Fgf6,0.05,0.01,0.03,0.0,0.02,0.01,0.0,0.06,0.0,0.0
Ccnd2,41.57,41.31,35.27,39.09,94.99,111.75,210.17,200.85,114.21,123.33
Gpr107,9.99,9.01,9.88,10.09,10.23,12.14,16.59,12.62,16.17,15.73
Nalcn,0.01,0.01,0.0,0.03,0.03,0.02,0.1,0.05,0.0,0.0
Btbd17,0.22,0.09,0.03,0.0,0.06,0.11,0.33,0.07,0.04,0.01
Slfn4,1.02,0.76,1.03,0.84,0.05,0.07,0.0,0.0,0.0,0.01
Th,0.14,0.08,0.05,0.3,0.06,0.05,0.22,0.19,0.29,0.03
Ins2,2.42,1.89,0.87,18.32,0.07,0.4,0.0,0.0,0.0,0.0
Scnn1g,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drp2,0.13,0.08,0.08,0.1,0.06,0.17,0.32,0.38,0.13,0.26
Tspan32,71.35,69.74,59.54,60.41,86.43,77.19,90.99,84.1,88.75,87.6
Lhx2,1.61,1.31,0.97,1.51,2.55,2.32,8.09,8.01,7.21,6.86
Clec2g,0.0,0.0,0.01,0.08,0.0,0.0,0.0,0.03,0.0,0.0
Gmpr,236.92,229.84,188.64,179.85,305.64,305.68,169.8,146.03,306.56,304.66
Glra1,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
Mid2,0.44,0.31,0.19,0.34,0.14,0.35,0.67,1.02,0.66,0.42
Trim25,16.98,17.76,15.66,18.4,15.66,17.76,15.89,15.41,21.74,19.33
Dgke,0.54,0.35,0.4,0.58,0.6,0.71,1.39,1.39,1.33,1.45
Scpep1,43.5,41.55,41.6,40.22,35.07,40.67,45.76,41.85,35.38,33.81
Mnt,1.29,1.24,0.77,1.02,1.33,1.16,3.04,2.58,1.56,1.69
Itgb2,16.08,14.86,15.54,17.45,8.9,9.24,14.73,13.55,11.67,11.25
Hddc2,9.46,11.37,8.07,7.79,22.97,22.31,48.7,43.19,26.62,24.17
Tpd52l1,0.54,0.76,0.54,0.81,1.29,1.36,3.88,4.73,1.89,1.96
Pemt,36.03,20.41,36.86,53.58,6.64,6.82,9.73,6.89,6.14,6.73
Cdh1,20.18,16.49,19.6,22.43,10.46,14.93,9.07,8.04,9.59,8.92
Cdh4,0.27,0.25,0.47,0.34,0.24,0.14,0.6,0.37,0.17,0.25
Ckmt1,0.59,0.4,0.02,4.06,0.17,0.31,1.3,1.23,0.09,0.13
Bcl6b,1.88,1.79,1.76,1.97,1.38,1.57,5.61,4.93,2.32,3.2
Clec10a,0.52,0.34,0.55,0.53,0.28,0.23,0.41,0.3,0.12,0.28
Alox12,12.57,11.95,11.1,12.56,16.96,18.65,16.52,16.38,22.49,20.64
Arvcf,8.12,6.62,7.1,7.27,6.59,6.84,11.9,10.1,10.55,10.75
Comt,81.69,76.1,74.33,72.07,95.41,93.9,108.14,103.14,100.35,94.33
Rtca,21.17,21.81,17.89,16.87,34.99,37.39,54.51,49.0,40.04,38.9
Dbt,13.98,12.32,17.06,16.42,7.93,10.23,13.74,12.61,9.27,9.59
Dazap2,128.24,126.07,112.2,123.72,122.63,149.45,211.02,186.83,136.31,139.62
Mcts1,28.15,35.41,33.9,26.65,47.81,54.23,66.67,61.7,47.64,47.5
Rem1,0.94,0.5,0.9,0.92,0.77,0.82,0.9,1.2,1.13,1.21
Rnf17,0.87,0.73,0.9,0.48,2.11,2.72,5.78,5.76,3.51,3.32
Trappc10,13.67,13.78,3.64,5.04,13.73,13.46,10.98,9.67,18.37,20.46
Ccm2,38.16,34.85,29.52,30.54,40.04,39.57,57.35,59.89,50.3,48.39
Wap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tbrg4,28.92,26.96,23.29,24.24,40.11,39.81,79.68,68.76,58.09,57.92
Tmprss2,3.93,4.12,3.63,3.78,2.14,2.82,1.92,2.2,1.65,2.03
Mx1,0.2,0.25,0.17,0.33,0.58,0.22,0.29,0.48,0.17,0.22
Fap,0.57,0.47,0.37,0.29,0.35,0.47,0.77,0.81,0.55,0.99
Gcg,0.05,0.04,0.07,0.24,0.0,0.11,8.38,4.61,0.46,0.3
Ndufa9,115.93,120.24,125.89,112.16,152.96,166.49,179.84,166.34,141.39,140.18
Egfl6,0.69,0.77,0.52,0.57,0.92,0.85,2.18,1.69,0.9,1.43
Lck,2.08,2.85,2.72,2.64,3.33,3.06,4.62,3.99,4.3,3.43
Tssk3,0.1,0.08,0.02,0.11,0.06,0.0,0.04,0.0,0.0,0.06
Cttnbp2,0.73,0.64,1.16,0.93,1.19,1.63,3.44,3.29,1.78,1.21
Galnt1,38.92,38.48,16.11,18.22,41.14,47.8,48.28,40.23,55.54,61.55
Myf5,0.11,0.26,0.15,0.13,0.27,0.3,1.71,1.19,0.08,0.43
Mkrn2,7.32,7.47,7.33,6.62,9.86,10.4,19.32,15.67,12.86,12.08
Pparg,1.27,1.51,1.32,1.45,1.04,1.12,0.87,0.85,1.14,0.95
Raf1,33.51,31.35,31.47,33.31,28.48,33.09,54.42,51.14,44.64,43.83
Sept1,8.13,8.43,8.68,9.37,8.52,8.35,11.48,12.75,8.89,11.41
Pdgfb,0.58,0.44,0.4,0.34,0.66,0.54,1.87,1.95,1.85,1.36
Acvrl1,2.27,1.21,2.0,2.69,1.11,1.03,1.95,1.82,1.52,1.51
Grasp,0.4,0.32,0.31,0.46,0.38,0.25,1.34,1.13,0.68,1.11
Acvr1b,1.72,1.43,1.7,1.79,0.91,1.42,3.39,3.09,1.81,1.56
Tom1l2,5.06,4.61,4.89,5.74,4.46,4.0,9.84,9.21,8.09,7.24
Gpa33,0.08,0.06,0.0,0.34,0.02,0.15,0.0,0.0,0.01,0.07
Zfp385a,5.77,5.25,4.68,5.89,3.96,5.05,17.88,18.06,6.87,6.45
Itga5,16.61,13.82,15.76,16.62,11.22,13.64,27.29,26.03,19.5,18.25
Gabra2,0.03,0.03,0.0,0.04,0.01,0.05,0.16,0.41,0.13,0.1
Wdr77,35.68,34.58,30.71,29.7,57.07,59.65,128.34,112.46,75.46,72.42
Adora3,0.71,0.56,0.41,0.65,0.38,0.44,0.71,0.26,0.14,0.33
Atp5f1,248.35,267.5,266.45,242.9,339.86,389.56,393.89,364.3,308.56,307.71
Sox9,1.01,0.73,0.94,1.17,0.92,1.34,8.31,8.52,2.04,2.29
Hnrnpd,65.13,61.24,15.84,15.24,72.95,94.33,115.54,111.2,205.37,212.14
Dynlt1c,6.02,5.73,8.0,7.23,5.58,4.31,12.82,14.75,8.48,6.77
C1d,31.33,33.32,35.27,29.15,47.72,54.53,77.39,66.96,47.44,47.23
Gm2a,23.26,19.44,23.46,27.61,8.31,9.12,12.24,10.15,9.57,8.92
Krit1,15.48,15.74,16.81,15.81,19.91,26.3,29.43,28.32,27.94,26.62
Clcn4,12.96,12.4,10.94,11.21,14.02,13.21,19.7,17.85,15.86,15.39
Vmn2r88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Grm6,0.1,0.15,0.01,0.02,0.01,0.03,0.0,0.09,0.05,0.0
Sema4f,0.05,0.09,0.09,0.05,0.04,0.01,0.26,0.1,0.16,0.13
Hk2,4.54,4.04,4.28,5.44,5.17,5.74,19.23,21.16,9.3,8.46
Myo18a,12.47,13.63,13.22,13.57,15.0,18.8,29.49,27.04,24.12,25.31
Sez6,0.04,0.14,0.01,0.14,0.17,0.03,0.06,0.26,0.04,0.0
Haao,70.07,49.87,66.01,74.54,14.08,14.8,3.69,3.15,6.43,5.93
Cd52,41.2,44.77,47.99,48.16,21.36,23.92,12.59,11.95,15.49,18.01
Abhd15,3.41,4.22,3.31,4.28,2.97,3.31,3.21,2.81,2.54,3.05
Hoxb6,0.05,0.05,0.02,0.07,0.06,0.12,1.88,1.41,0.25,0.25
Loxl3,1.51,1.81,1.64,1.74,1.81,1.92,3.86,4.52,2.65,2.61
Tcl1b5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Btn1a1,1.42,1.85,1.62,1.67,1.32,1.7,1.73,1.28,1.58,2.05
Kat2b,4.74,3.61,4.54,4.39,3.97,4.4,5.59,6.35,4.29,4.06
Rab5b,31.91,29.09,31.32,32.72,21.27,27.1,36.1,34.33,28.72,29.05
Cryba1,0.0,0.0,0.03,0.0,0.0,0.21,0.0,0.0,0.09,0.0
Dnmt3l,0.0,0.04,0.0,0.07,0.08,0.0,0.04,0.0,0.1,0.0
Aire,0.0,0.0,0.01,0.0,0.02,0.0,0.12,0.37,0.05,0.0
Icosl,1.9,1.92,1.42,1.3,1.75,1.76,2.66,3.04,2.7,2.43
Spg7,18.43,18.05,17.0,17.51,21.99,22.21,35.39,30.15,33.56,33.43
Sult5a1,0.83,0.66,0.76,0.63,0.91,1.09,4.32,3.34,1.43,1.72
Rpl13,681.35,681.93,687.39,620.58,1016.44,1026.6,1512.97,1484.03,1217.56,1234.1
Chmp1a,55.42,51.65,51.0,47.37,64.74,66.91,80.3,69.58,67.77,66.99
Rpa1,71.15,76.82,70.32,66.64,98.15,118.5,118.3,108.38,120.1,124.44
Serpinf1,242.2,230.44,310.75,340.49,157.34,154.66,172.52,158.07,144.42,131.92
Tubgcp3,20.85,19.47,19.27,17.83,21.79,27.03,43.37,46.47,32.42,32.32
Oprm1,0.06,0.02,0.01,0.06,0.01,0.0,0.0,0.06,0.03,0.01
Polr3d,12.59,11.64,8.27,10.47,20.21,18.05,40.44,32.06,27.5,28.8
Tcf7,1.64,1.25,0.63,0.88,1.66,1.69,5.2,4.78,3.17,3.71
Ddx3x,40.16,39.97,38.07,37.2,57.34,73.93,115.31,99.03,79.39,74.99
Il12rb1,0.19,0.19,0.05,0.3,0.17,0.18,0.19,0.07,0.15,0.18
Slc5a5,0.04,0.02,0.02,0.09,0.03,0.03,0.14,0.25,0.09,0.07
Kcnn3,0.07,0.03,0.0,0.04,0.03,0.04,0.15,0.33,0.02,0.1
Usp32,13.24,8.81,10.42,9.67,8.69,8.36,6.09,7.95,10.1,8.83
Car4,0.43,0.14,0.09,0.07,1.17,0.84,10.93,9.5,2.62,2.29
Txnrd3,2.45,2.27,1.64,1.9,3.43,3.64,8.66,7.29,5.36,5.12
Fasl,0.05,0.07,0.07,0.08,0.01,0.02,0.0,0.0,0.1,0.04
Zfp512b,8.36,8.12,5.29,6.43,7.77,7.22,26.12,22.75,19.6,18.52
Dnajc5,25.85,24.1,23.36,22.38,25.69,30.78,50.48,44.54,37.76,36.47
Tpd52l2,58.45,59.38,59.31,53.16,71.98,75.8,120.2,108.65,80.38,78.1
Fmr1,19.87,19.55,20.91,20.37,21.1,29.59,44.35,41.21,35.58,36.93
Bcl11a,21.44,21.85,17.85,15.0,32.86,38.87,71.02,69.6,44.82,44.73
Il4,0.45,0.3,0.23,0.17,0.52,0.71,1.43,2.32,0.68,0.68
Pxmp4,38.1,30.09,36.83,38.06,25.05,23.15,19.7,18.41,20.51,21.8
Dlg3,0.69,0.28,0.68,0.61,0.24,0.38,2.33,1.94,1.18,1.34
Gnb1l,7.22,6.5,5.2,5.31,12.94,12.04,13.73,13.44,12.57,11.74
Dbh,0.06,0.06,0.06,0.13,0.03,0.03,0.74,0.36,0.1,0.04
Mmp11,2.7,2.12,1.82,2.25,3.56,3.1,11.7,12.14,4.8,5.05
Smarcb1,56.01,55.3,47.83,48.17,74.26,76.01,124.76,114.56,91.54,82.89
Vpreb3,7.9,5.57,12.81,14.82,0.58,0.7,0.4,0.7,0.23,0.82
Hip1r,11.22,9.9,10.65,13.79,9.84,11.13,15.85,14.76,14.02,12.7
Nsun5,14.01,14.28,12.36,10.28,21.57,21.86,32.47,23.86,28.21,25.82
Top1mt,9.82,8.69,10.34,10.36,10.05,11.44,14.62,10.9,10.0,9.75
Hoxa10,0.06,0.07,0.08,0.04,0.12,0.13,0.7,1.62,0.37,0.51
Hoxa4,0.18,0.06,0.06,0.11,0.26,0.15,1.75,2.25,0.77,0.66
Gm38393,0.13,0.07,0.11,0.01,0.07,0.12,0.3,0.39,0.3,0.2
Mmp14,21.42,19.59,19.56,21.41,17.16,20.05,43.61,42.01,30.81,31.97
Slc7a7,8.63,9.1,8.09,8.92,7.5,8.87,7.68,6.02,7.01,7.08
Oxa1l,14.97,13.86,13.63,15.17,18.6,19.24,35.93,30.86,20.91,22.8
Heatr6,5.78,5.39,4.78,6.11,7.13,6.7,11.13,12.23,8.74,8.13
Ccl3,0.72,1.07,0.38,0.29,0.8,0.68,1.34,1.33,1.33,1.69
Wfdc18,0.07,0.0,0.0,0.15,0.06,0.0,0.0,0.0,0.0,0.0
Icam4,169.26,174.32,157.54,146.07,220.52,210.79,113.32,106.35,193.49,198.69
Ilf2,41.89,44.12,41.64,38.0,65.1,73.37,133.58,123.55,83.92,85.72
Chtop,44.78,43.27,35.22,32.84,57.08,62.55,66.44,57.05,73.86,71.68
Snapin,14.07,15.47,15.56,15.07,18.42,19.8,34.56,33.81,20.3,22.58
S100a4,2.04,1.46,1.85,2.09,0.51,0.5,0.53,0.56,0.46,0.58
S100a3,0.07,0.01,0.06,0.0,0.05,0.0,0.01,0.0,0.03,0.01
S100a5,0.0,0.0,0.0,0.07,0.0,0.0,0.13,0.0,0.0,0.0
S100a6,12.36,13.82,15.95,15.81,5.27,6.23,10.68,10.64,4.74,5.71
Scn4a,0.03,0.21,0.03,0.11,0.02,0.0,0.01,0.0,0.01,0.02
Icam2,14.27,11.65,11.45,12.58,16.18,16.83,27.89,30.33,19.41,19.03
Mapk7,7.54,6.44,6.16,5.47,6.27,7.61,19.31,20.1,12.39,10.81
Epn2,1.7,1.71,1.73,2.39,2.21,2.67,7.19,6.68,4.35,5.21
B9d1,1.57,1.4,1.06,1.13,3.47,1.84,8.56,7.44,4.06,4.04
Sec24b,8.36,6.71,6.21,8.73,6.59,8.95,21.86,19.45,12.76,12.53
N4bp3,2.49,2.48,2.43,3.31,2.8,2.7,6.1,5.28,4.08,4.41
Rmnd5b,18.35,17.34,14.23,15.04,21.74,21.51,40.22,34.88,28.87,25.42
Nhp2,80.14,83.05,67.86,58.86,176.1,160.67,267.16,254.82,190.92,181.29
Vps9d1,4.6,4.01,4.15,4.77,3.47,3.84,7.11,7.84,4.88,6.33
Zfp276,7.96,6.91,6.39,6.64,5.45,6.13,14.51,11.66,9.9,9.45
C1ql4,0.02,0.0,0.0,0.03,0.0,0.02,0.19,0.03,0.11,0.05
Mfsd10,43.98,44.34,30.22,44.29,57.16,48.62,78.92,92.94,64.93,55.87
Luzp1,11.11,9.46,10.25,11.22,16.77,14.93,34.44,32.61,21.53,21.38
Slc13a2,0.0,0.04,0.03,0.06,0.02,0.06,0.0,0.03,0.04,0.0
Kctd10,19.61,18.36,18.7,19.34,20.19,22.52,49.32,43.14,30.4,29.68
Poldip2,57.56,53.29,54.44,52.98,67.75,71.09,118.41,110.36,81.13,80.28
Sebox,0.25,0.22,0.22,0.21,0.08,0.21,0.25,0.15,0.1,0.0
Ift20,50.07,57.4,52.57,51.86,72.07,76.47,85.96,83.46,71.06,68.28
Col6a1,9.89,9.35,8.54,12.07,7.98,7.48,13.91,15.15,11.8,12.05
Pcbp3,4.3,3.11,3.95,3.22,4.43,6.57,8.24,6.98,7.4,6.77
Lgals9,153.27,134.0,154.85,174.14,56.21,59.63,36.28,32.18,38.31,34.15
Araf,39.35,34.6,34.82,35.68,37.38,40.25,64.97,61.03,49.42,52.49
Cfp,44.62,33.88,37.31,41.36,16.73,16.02,8.89,8.75,9.78,10.96
Timp1,1.95,1.71,1.43,2.07,2.65,2.84,6.79,7.72,4.25,3.08
Uxt,27.0,33.24,32.91,29.44,50.17,44.72,48.28,48.66,51.44,49.16
Cnnm3,0.98,0.89,0.78,0.91,0.85,0.84,2.94,2.41,1.07,1.27
Lman2l,12.39,10.94,10.29,11.02,11.42,14.06,14.37,13.23,19.14,17.47
Mcm3ap,16.03,15.6,16.52,18.13,21.87,22.91,46.89,42.19,36.31,32.69
Pcnt,7.47,6.91,6.42,6.66,7.23,8.21,13.77,20.14,10.54,11.57
Ftcd,48.16,35.8,45.3,54.04,16.57,19.75,13.33,9.72,15.31,15.53
Mxd1,50.34,42.38,44.15,45.6,28.57,33.43,10.32,8.36,29.46,33.21
Gmcl1,6.78,6.13,4.93,5.07,7.76,8.86,16.89,13.03,14.71,14.86
Snrnp27,32.56,41.27,40.71,30.17,61.81,74.58,84.18,88.81,68.74,71.16
Oas1c,0.29,0.38,0.17,0.1,0.07,0.19,0.02,0.14,0.17,0.2
Oas1h,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ocrl,2.73,2.23,2.33,2.81,2.78,3.59,9.86,8.62,4.85,5.58
Calm1,338.83,425.61,364.34,350.08,606.25,657.59,736.71,711.11,653.71,617.44
Agpat3,39.9,28.74,17.62,22.74,16.89,15.63,25.27,20.95,21.23,21.48
Slc26a3,0.06,0.03,0.06,0.38,0.06,0.03,0.0,0.0,0.04,0.02
Sema6b,1.15,0.7,0.69,1.08,0.48,0.44,1.1,1.06,1.28,1.39
Uhrf1,94.76,84.07,76.8,72.85,104.81,113.02,140.43,125.66,129.34,127.65
Dpp9,19.87,17.02,17.05,19.94,17.01,19.87,30.5,28.31,23.89,22.68
Ramp2,22.05,17.59,17.81,18.44,20.29,21.89,48.04,46.79,27.34,27.98
Lsr,27.11,24.44,26.1,26.93,18.14,19.24,30.54,31.38,23.62,22.85
Gramd1a,12.4,10.32,8.77,9.82,8.09,9.24,31.48,34.74,17.74,16.96
Hpn,125.84,85.61,110.0,122.81,39.72,39.4,28.19,27.93,30.33,27.79
Gabrg1,0.0,0.0,0.0,0.01,0.01,0.0,0.04,0.03,0.0,0.0
Ckb,39.64,36.36,33.53,37.98,39.11,36.45,70.29,68.67,45.76,45.19
Sp1,3.24,3.05,3.15,3.16,3.49,3.72,8.13,7.07,4.3,4.72
Itgb7,5.72,5.58,4.75,4.68,5.61,4.78,3.15,2.87,5.39,7.43
Myg1,33.09,34.8,33.59,28.85,39.89,41.91,79.79,70.77,56.0,51.86
Rarg,2.64,2.41,2.02,2.13,2.17,2.58,8.57,8.36,3.72,4.06
Pfdn5,90.55,98.63,92.45,90.45,131.19,114.54,181.88,185.48,141.28,125.12
Efnb2,0.74,0.59,0.46,0.57,0.84,0.76,5.88,5.86,2.39,2.75
Rrp15,18.49,22.48,17.96,18.59,45.73,49.83,84.55,73.24,57.43,52.67
Rnd2,1.81,1.77,1.17,1.42,2.72,2.96,2.84,3.95,3.25,3.01
Srr,3.84,3.09,4.4,3.9,3.39,4.37,7.78,7.28,4.11,5.42
Sync,0.18,0.3,0.11,0.28,0.11,0.06,0.31,0.26,0.11,0.2
Fndc5,0.93,0.88,0.38,0.6,0.95,0.97,1.51,1.29,1.1,1.53
Acp5,214.02,191.73,205.59,193.37,159.31,161.66,124.9,113.96,149.84,147.28
Cnn1,1.21,0.83,0.19,1.52,1.62,3.11,2.77,4.54,0.67,0.68
Fbxo9,70.49,64.49,56.68,55.33,62.87,59.29,43.16,41.29,62.73,62.66
Vps50,7.82,8.16,8.69,7.28,10.02,12.73,22.93,19.72,14.49,14.68
Hars,86.01,79.82,77.18,74.28,100.62,113.07,145.54,129.54,121.51,115.77
Zmat2,22.03,24.5,25.05,23.35,34.4,39.51,33.81,32.15,31.61,34.79
Ube2c,592.2,624.94,541.0,560.06,663.23,657.86,371.27,381.08,576.56,559.33
Smg5,33.28,27.62,23.68,26.08,27.57,28.66,40.0,37.92,49.34,46.94
Cct3,218.4,210.73,194.44,180.27,325.79,348.59,574.78,506.02,409.63,374.85
Glmp,86.32,79.89,83.82,82.3,80.62,77.17,86.75,80.89,80.86,78.42
Mef2d,6.19,5.94,4.47,6.7,4.76,6.46,21.21,20.43,10.14,11.35
Tmem79,1.23,1.14,0.86,1.2,1.31,1.33,1.52,1.43,1.64,1.34
Snd1,47.99,44.37,45.28,47.51,47.89,54.54,89.95,78.32,68.8,69.03
Col18a1,76.56,57.35,75.18,88.32,25.8,31.35,46.38,40.37,32.13,35.46
Slc19a1,14.26,12.14,10.63,10.66,25.51,28.02,48.92,41.67,37.69,34.91
Kpnb1,16.11,16.0,13.58,12.29,25.32,26.61,60.73,61.54,32.99,32.19
Npepps,18.54,16.13,17.71,19.84,16.61,18.96,40.1,43.88,26.21,22.69
Tbx21,0.13,0.07,0.15,0.13,0.02,0.02,0.0,0.0,0.0,0.0
Mrpl10,30.01,29.52,28.65,24.39,39.68,44.39,66.29,65.46,47.54,47.38
Cyp51,46.56,50.27,55.55,52.75,40.65,52.06,58.06,51.73,45.93,51.16
Tcf25,47.32,43.95,49.65,45.79,55.15,63.61,113.55,99.47,79.11,66.24
Tubb6,48.76,47.17,40.52,43.01,44.58,43.24,57.18,57.1,50.88,46.35
Def8,10.34,10.17,9.7,8.42,11.29,12.8,25.16,19.7,15.41,14.39
Meox1,0.45,0.44,0.42,0.4,0.51,0.56,2.81,2.07,0.6,1.1
Sost,0.06,0.06,0.0,0.01,0.05,0.01,0.0,0.04,0.08,0.08
Nkx2-1,0.0,0.01,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
Pax9,0.13,0.16,0.21,0.2,0.21,0.26,0.47,0.44,0.22,0.27
Irx2,0.01,0.06,0.0,0.0,0.22,0.42,0.41,0.75,0.02,0.25
Col1a1,67.92,66.42,55.6,75.49,72.01,73.89,146.73,161.24,113.54,127.97
Itga3,2.25,1.78,1.46,1.9,1.56,1.68,3.11,3.32,3.01,2.36
Sgca,0.3,0.96,0.74,0.81,0.24,0.18,0.17,0.22,0.14,0.07
Dlx3,0.0,0.04,0.0,0.0,0.03,0.03,0.52,0.46,0.04,0.07
Foxm1,13.73,14.29,12.29,14.68,10.58,12.69,29.45,24.97,20.52,22.27
Itfg2,12.11,10.49,8.98,10.08,11.6,13.92,25.26,21.98,17.06,15.44
Nrip2,2.29,1.8,3.51,3.97,1.24,1.36,2.2,2.53,1.31,1.11
Tulp3,1.51,1.34,1.19,1.44,2.14,2.2,7.33,7.39,4.01,3.91
Gtf2h4,22.13,18.81,18.32,18.33,27.69,29.28,45.11,40.36,36.89,32.02
Tubb5,329.47,340.0,295.11,277.84,451.3,472.44,648.63,622.72,503.45,482.75
Ell2,29.5,29.74,25.91,26.4,33.17,42.85,34.46,29.46,49.98,55.35
Jup,13.66,12.16,13.3,14.96,11.44,13.35,29.85,30.32,20.35,19.99
Fkbp10,7.38,6.75,6.72,7.11,10.21,11.28,33.25,29.12,16.89,19.93
Klhl10,0.05,0.12,0.06,0.02,0.21,0.07,0.24,0.26,0.27,0.1
Mnx1,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.08,0.0,0.02
Nom1,11.03,12.95,12.17,10.69,16.85,21.66,27.4,27.76,25.08,25.04
Ergic1,31.0,29.38,30.77,33.03,30.56,31.93,68.88,70.06,38.36,37.28
Tnk1,0.54,0.52,0.82,0.63,0.66,1.27,0.44,0.45,1.19,1.04
Acap1,6.23,5.1,5.54,5.76,3.81,4.24,6.65,6.34,6.77,6.37
Tcea3,18.11,16.68,21.64,25.25,11.15,11.75,12.61,12.62,9.28,8.23
Csn3,0.0,0.03,0.0,0.0,0.03,0.06,0.19,0.12,0.1,0.07
Ifrd1,33.35,38.0,38.04,34.11,64.11,69.17,76.92,81.58,75.15,77.98
Stk38l,3.87,3.28,3.67,3.31,4.41,4.94,8.35,6.22,5.64,5.69
Brpf1,8.96,6.79,6.41,6.55,6.5,7.95,17.97,16.03,13.26,13.41
Akr1b3,34.69,37.78,27.93,28.57,55.7,57.62,101.63,95.31,71.3,61.9
Hoxc13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
Hoxc11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hoxc8,0.03,0.03,0.01,0.0,0.17,0.16,0.99,1.4,0.07,0.18
Hoxc6,0.0,0.08,0.06,0.0,0.12,0.11,1.14,0.98,0.14,0.16
Gstt1,130.79,93.68,154.78,183.86,42.65,43.29,31.31,31.36,32.18,32.17
Gstt3,12.9,13.36,12.06,13.81,6.96,8.87,6.12,4.6,4.96,5.56
Ddt,160.62,177.16,204.12,187.71,156.21,160.75,152.06,155.54,143.83,136.61
Tat,0.41,0.22,0.3,0.38,0.14,0.17,0.06,0.16,0.08,0.11
Marveld3,0.23,0.05,0.05,0.43,0.0,0.12,0.13,0.11,0.13,0.06
Ddx18,16.23,22.34,19.39,17.61,49.54,53.97,75.46,77.97,52.02,51.91
Ubl3,19.32,18.3,11.14,13.04,16.04,18.16,30.9,31.47,30.41,28.43
Gramd3,5.31,4.53,6.67,7.2,3.5,4.71,7.82,7.87,5.0,4.51
Eef1e1,32.3,36.4,29.79,26.64,49.53,52.85,86.33,85.29,52.16,51.81
