gene_name,TC_M_43_1,TC_M_43_2,TC_F_21_1,ATC_M_43_2,ATC_M_43_1,ATC_F_21_3,ATC_F_21_4,ATC_F_21_1,ATC_F_21_2
RTCA,20.51,22.98,16.01,35.37,35.48,31.31,33.97,33.97,33.08
IFT172,8.42,6.55,10.11,5.04,4.27,4.31,5.42,4.82,5.03
SELENOI,9.42,10.44,14.84,15.11,15.81,12.65,16.18,12.99,14.98
CGREF1,0.2,0.09,0.16,0.35,0.58,0.65,0.98,1.17,0.94
HADHB,18.07,19.04,21.71,38.43,39.36,34.71,33.16,31.86,34.17
KHK,3.48,1.57,3.19,5.16,3.71,5.58,5.38,5.3,6.48
ADCY3,17.42,15.25,14.09,27.38,27.53,21.02,23.11,24.01,24.71
PPM1B,29.44,32.21,31.42,25.95,24.65,22.88,19.83,24.64,21.29
PNPT1,5.21,5.69,8.78,9.43,10.92,9.68,8.98,9.68,8.95
DYNC2LI1,1.33,1.23,1.79,13.77,12.63,12.37,14.4,12.99,13.83
LHCGR,0.0,0.04,0.03,0.0,0.0,0.0,0.0,0.0,0.0
THUMPD2,4.76,5.13,4.73,5.64,5.63,6.81,8.14,7.33,7.27
CYP1B1,0.06,0.0,0.03,4.1,2.52,8.27,10.11,9.19,8.98
SULT6B1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAB1A,24.76,23.29,20.37,39.23,38.17,33.63,35.52,36.14,34.73
ACTR2,104.81,105.38,93.66,117.49,121.59,88.78,91.34,96.85,92.47
PREB,14.14,12.07,9.31,17.74,16.46,15.73,14.76,15.83,16.38
SLC5A6,88.01,91.64,58.97,16.78,16.23,20.22,16.31,20.41,21.39
ABCG5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PREPL,12.58,12.75,11.07,12.98,12.59,8.48,9.16,9.33,8.31
SLC3A1,0.18,0.33,0.55,0.05,0.06,0.09,0.11,0.09,0.05
EMILIN1,0.1,0.16,0.11,0.44,0.21,0.3,0.15,0.2,0.37
FBXO11,36.74,38.59,35.52,21.71,22.38,20.11,24.84,29.13,22.92
SIX3,0.05,0.1,0.0,0.0,0.02,0.0,0.0,0.03,0.0
ATRAID,35.39,33.85,33.19,34.77,37.69,38.72,36.34,41.22,39.27
CENPO,2.29,2.08,2.52,16.68,18.48,14.91,18.35,18.06,19.34
LRPPRC,21.61,23.08,25.77,52.27,53.76,57.2,62.22,60.73,63.34
TRIM54,0.0,0.0,0.02,0.0,0.04,0.05,0.15,0.05,0.1
DTNB,12.53,19.62,16.6,13.49,13.08,14.14,12.37,15.32,14.12
ACTR1A,22.22,25.81,20.61,26.61,26.82,28.68,28.43,24.45,28.26
CYP2C9,0.0,0.0,0.0,0.05,0.07,0.02,0.04,0.31,0.09
MFSD13A,4.05,2.59,1.88,6.36,6.55,7.04,7.29,7.05,8.49
CYP2C8,0.17,0.17,0.11,0.13,0.04,0.0,0.15,0.05,0.09
MYOF,0.03,0.36,0.26,14.0,12.56,14.55,13.45,14.63,13.82
LOXL4,0.05,0.01,0.0,0.02,0.0,0.01,0.01,0.0,0.0
STAMBPL1,10.44,11.81,13.79,12.2,12.21,14.73,16.6,15.6,15.79
CH25H,0.31,0.09,0.4,0.24,0.07,0.16,0.04,0.04,0.11
LBX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATAD1,15.85,15.1,17.51,23.4,24.97,21.68,23.26,21.4,27.39
BTBD16,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0
KIF11,0.52,0.5,0.8,22.18,21.22,22.5,23.61,23.09,21.4
CUZD1,0.55,0.7,0.47,0.72,0.84,0.59,0.62,0.9,1.0
TACC2,0.0,0.0,0.0,0.08,0.0,0.16,0.01,0.0,0.0
DUSP5,30.76,29.8,23.61,104.47,105.32,51.29,50.88,50.82,53.4
CALHM2,10.29,11.46,3.57,8.13,8.92,4.81,4.82,4.99,4.18
ARL3,0.99,1.17,1.13,3.74,3.43,3.36,3.31,2.81,3.29
CEP55,0.23,0.21,0.38,20.13,21.79,23.03,23.22,24.11,23.55
KIF20B,8.5,9.22,8.12,23.34,20.33,23.15,24.31,27.57,23.9
ENTPD1,0.34,0.65,0.9,0.23,0.22,4.04,5.35,4.81,3.89
EXOC6,5.02,4.15,5.3,3.99,4.39,3.98,5.24,5.49,4.44
PLCE1,0.0,0.01,0.0,0.05,0.05,0.02,0.02,0.01,0.02
RBP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DBR1,9.2,8.21,5.24,9.49,10.0,9.2,9.17,10.1,9.15
DNAJC13,13.01,13.43,11.66,15.67,15.18,15.12,16.46,16.18,15.12
GPR87,0.0,0.0,0.0,0.95,1.19,0.46,0.29,0.34,0.29
ANXA7,43.74,41.85,33.68,53.09,53.27,41.73,44.95,46.32,44.84
FAM149B1,6.06,6.29,6.32,6.02,5.62,6.32,6.68,8.02,7.63
ASCC1,9.44,9.79,9.61,36.4,36.56,29.47,33.78,31.7,31.13
PLA2G12B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0
ZNF365,3.55,3.39,0.79,0.13,0.09,0.01,0.05,0.01,0.01
OIT3,0.0,0.06,0.0,0.0,0.0,0.0,0.02,0.0,0.0
ADAMTS14,0.01,0.02,0.05,0.16,0.09,0.08,0.1,0.02,0.08
RPS24,565.61,563.56,712.27,598.22,605.03,666.89,717.64,714.14,697.7
TET1,1.39,1.53,1.45,0.3,0.31,0.48,0.38,0.51,0.4
DNA2,1.64,1.9,2.72,14.44,14.47,14.52,16.78,17.71,15.39
MYPN,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.03,0.03
AOX1,0.0,0.02,0.0,0.36,0.28,0.36,0.35,0.42,0.52
ATIC,22.92,26.56,31.39,81.85,81.91,98.37,98.73,102.19,98.87
SMARCAL1,7.54,7.96,6.86,14.02,14.64,12.9,12.85,16.1,13.34
BARD1,4.24,5.19,4.44,14.07,13.64,14.13,12.96,14.48,13.47
STAT4,52.62,60.42,55.78,54.13,54.11,42.56,43.1,44.28,46.18
MSTN,0.0,0.03,0.03,0.0,0.0,0.0,0.02,0.01,0.0
CARF,5.69,5.72,8.34,5.96,6.47,5.92,4.98,5.71,5.89
ASNSD1,15.49,13.59,17.48,22.51,19.56,23.15,24.58,23.69,22.99
METTL5,15.27,12.92,10.9,36.28,39.01,43.72,45.88,46.75,45.05
SSB,42.87,50.46,39.83,28.48,29.62,31.79,31.23,31.86,29.58
NAB1,6.85,9.47,7.56,26.47,29.95,16.36,17.82,18.59,17.17
CDK15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPIG,22.73,27.28,28.47,29.13,27.24,33.43,33.3,32.54,30.17
FASTKD1,9.35,7.55,7.56,17.47,16.0,15.54,19.27,17.91,18.23
MDH1B,0.06,0.15,0.13,0.24,0.6,0.82,0.4,0.41,0.65
HECW2,0.6,1.26,0.21,2.24,2.16,1.97,1.83,2.38,2.72
IDH1,2.53,2.17,2.2,8.04,7.7,6.87,8.91,7.48,6.97
OLA1,17.06,18.41,18.42,38.52,37.34,35.84,41.8,40.38,40.03
CIR1,23.54,26.89,20.79,11.65,13.16,12.42,11.66,12.15,12.05
ITPRID2,23.5,19.34,22.29,25.95,24.19,21.35,21.68,17.78,21.29
CHRNA1,0.27,0.1,0.05,0.0,0.03,0.0,0.04,0.07,0.0
FAM117B,11.37,11.34,17.59,4.93,5.07,7.07,6.96,7.37,7.37
WDR12,6.64,4.41,9.06,29.21,30.83,36.03,39.53,35.66,35.04
ABI2,8.38,9.55,10.66,17.31,17.64,17.68,20.36,21.51,22.25
ITGAV,2.47,2.49,2.31,4.83,4.29,4.52,4.91,4.87,4.36
SLC40A1,11.44,10.15,17.46,1.95,2.33,1.92,2.09,1.86,2.33
SLC35A5,6.74,5.0,6.53,10.73,10.09,9.81,10.32,9.93,10.53
DIRC2,1.93,2.81,2.89,1.51,1.57,1.22,1.21,1.24,1.27
SENP7,19.96,22.18,22.34,11.64,11.75,9.16,11.27,9.83,11.99
GUCA1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCDC54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COX17,11.54,11.01,8.17,25.27,27.15,28.98,26.61,28.44,27.76
PARP9,8.31,9.23,17.17,16.46,18.1,11.4,11.99,12.37,12.1
MNS1,0.05,0.0,0.19,0.07,0.08,0.02,0.08,0.16,0.32
USP8,20.0,19.88,17.96,22.77,25.66,27.49,26.84,28.79,30.77
SECISBP2L,25.55,26.79,23.76,14.54,16.65,10.83,12.9,13.21,13.85
TMOD3,18.19,22.9,18.85,20.99,23.46,27.85,22.94,27.94,27.27
SPPL2A,18.6,16.66,12.87,67.77,65.93,54.18,54.02,56.44,54.92
GLCE,2.3,2.36,2.25,1.81,1.52,1.23,1.61,1.75,1.38
SHF,2.12,2.2,2.23,7.27,7.18,4.88,4.88,5.52,4.87
APH1B,7.78,8.12,10.94,10.54,7.88,12.74,12.74,9.85,11.99
INTS14,9.6,11.43,11.17,21.1,21.32,22.83,22.37,24.3,21.16
CILP,0.21,0.19,0.11,0.02,0.01,0.01,0.01,0.0,0.0
PARP16,5.5,7.3,6.48,10.98,11.76,13.62,13.26,14.27,12.88
PPCDC,3.31,4.01,4.03,12.84,12.02,12.48,12.34,15.52,10.63
HCN4,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0
SEMA7A,0.79,0.85,0.93,20.15,19.23,21.9,23.78,21.46,22.1
UBL7,14.55,11.18,12.04,20.64,22.4,21.49,22.95,24.81,27.4
ARHGAP24,0.2,0.55,0.18,0.05,0.06,0.02,0.0,0.1,0.0
FAM13A,6.84,7.92,37.13,2.56,2.16,1.72,1.85,2.46,2.06
HERC3,24.62,29.33,36.57,13.96,12.0,9.29,9.16,9.18,8.63
HERC6,9.91,8.45,5.55,6.42,8.39,2.41,2.38,2.24,1.81
HERC5,5.79,6.65,5.04,21.54,22.02,9.19,8.77,9.17,8.19
PCDH10,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.01,0.01
NDST4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZGRF1,3.4,3.0,4.33,25.08,25.72,19.69,21.87,19.88,23.71
AP1AR,4.23,6.63,5.54,14.35,13.41,9.62,8.99,8.45,9.24
COPS4,9.79,12.15,9.68,12.64,12.08,11.73,12.02,12.89,13.35
HNRNPD,87.28,90.8,109.42,114.45,110.53,101.91,105.95,104.73,104.62
PRKG2,0.71,0.23,0.39,0.02,0.04,0.53,0.26,0.47,0.16
RASGEF1B,20.32,23.15,14.58,3.16,3.43,3.65,3.57,3.95,3.97
SEC31A,53.13,56.57,58.24,44.62,46.18,38.52,44.21,42.37,42.14
FGF5,0.0,0.03,0.0,0.01,0.02,0.0,0.01,0.01,0.01
GPAT3,1.71,2.94,1.07,2.19,1.62,0.62,0.48,1.38,0.54
IL21,0.01,0.1,0.28,11.21,11.38,6.03,5.9,5.7,7.22
FGF2,0.0,0.0,0.0,2.09,2.41,1.01,1.11,0.87,1.33
BBS7,2.56,2.66,2.78,6.03,5.32,5.99,5.68,6.86,6.94
KIAA1109,42.52,49.44,35.4,19.91,21.64,18.29,20.47,18.66,19.13
BMPR1B,0.08,0.12,0.0,0.0,0.09,0.07,0.02,0.0,0.06
RAP1GDS1,17.65,17.14,17.51,20.4,20.56,20.65,22.74,23.58,20.76
LARP1B,4.87,4.39,3.85,10.81,12.51,9.54,11.12,11.66,11.07
MMRN1,0.15,0.2,0.12,0.0,0.01,0.0,0.01,0.0,0.01
PDE5A,0.82,0.7,0.87,0.45,0.55,0.69,0.39,0.94,0.6
PRDM5,0.18,0.52,0.57,0.15,0.13,0.01,0.25,0.09,0.02
TRPC3,0.17,0.18,0.1,0.22,0.46,0.34,0.19,0.25,0.16
NAAA,23.66,22.81,20.67,9.69,10.44,10.67,13.17,10.93,10.65
NUP54,30.48,34.44,35.5,22.15,20.86,16.59,21.59,22.86,23.78
CXCL9,0.0,0.0,0.0,1.17,1.16,0.51,0.39,0.56,0.42
BMP2K,3.77,2.86,4.82,5.35,5.36,5.49,5.34,8.19,6.3
G3BP2,120.01,118.69,126.24,91.42,99.03,81.96,84.97,86.72,79.76
SEPT11,13.69,8.95,9.09,5.72,4.68,2.87,4.35,3.2,4.03
FRAS1,0.0,0.02,0.01,0.03,0.16,0.03,0.04,0.04,0.02
SCARB2,14.48,15.64,14.91,3.49,4.55,1.98,2.14,2.16,1.99
CCNG2,10.43,10.06,10.18,16.64,18.09,12.87,12.3,12.4,13.6
CNOT6L,79.49,88.67,70.74,90.26,89.2,87.37,92.86,95.17,88.12
USO1,9.84,10.7,11.68,22.34,20.62,16.34,17.46,17.05,15.97
CDKL2,0.06,0.11,0.75,0.57,0.62,1.26,0.93,1.36,0.91
SHROOM3,0.0,0.0,0.0,0.04,0.04,0.01,0.04,0.01,0.06
ANXA3,0.0,0.0,0.0,0.4,0.38,0.79,0.71,1.05,0.97
PPA2,16.43,18.46,20.92,32.26,29.32,41.02,37.44,39.53,37.25
CENPE,1.61,2.02,2.05,25.95,22.1,25.98,26.46,24.44,30.11
GSTCD,1.76,2.24,2.98,6.39,7.96,6.92,6.11,7.32,7.31
INTS12,6.58,8.74,9.49,9.24,9.19,10.02,9.71,10.73,9.57
ENPEP,0.0,0.0,0.01,0.01,0.15,0.07,0.35,0.14,0.1
CASP6,5.66,7.51,7.95,10.85,12.16,12.23,12.6,13.13,13.51
LEF1,202.95,206.76,309.88,56.1,58.72,69.53,72.66,75.08,70.91
HADH,6.77,6.09,6.85,15.43,15.73,18.88,19.01,21.0,18.97
EGF,0.11,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0
PAPSS1,6.25,6.74,4.62,13.63,13.71,12.31,13.83,13.77,12.98
SEC24B,14.64,16.57,14.6,11.15,11.64,9.73,10.39,10.45,10.13
C4orf17,0.0,0.0,0.0,0.04,0.02,0.01,0.0,0.0,0.0
PPP3CA,12.5,12.1,12.87,6.75,7.74,4.34,4.7,4.51,4.18
SLC39A8,10.72,9.85,7.67,24.35,26.02,22.96,24.43,23.35,22.73
MTTP,0.1,0.21,0.3,0.36,0.07,0.08,0.12,0.32,0.2
FBN2,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0
MAPK8IP3,93.63,101.93,86.14,50.83,47.03,36.84,38.6,43.32,40.38
RGS3,13.83,15.66,6.35,20.81,16.43,13.78,15.18,13.21,14.25
GUCD1,28.64,35.07,20.45,42.4,45.94,42.6,40.13,43.25,43.06
TTLL8,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0
RNF185,5.67,5.25,6.23,11.6,11.28,9.4,11.58,10.18,10.66
SHISAL1,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01
PARVG,67.77,68.04,61.17,32.36,31.1,31.39,33.93,33.91,33.86
B4GALNT3,1.14,1.22,0.28,1.59,1.63,0.66,0.53,0.26,0.37
PDE6H,0.0,0.0,0.0,0.1,0.06,0.0,0.05,0.05,0.0
ERP27,7.77,8.83,8.72,1.66,1.51,1.38,1.67,1.66,1.64
ETV6,11.51,13.44,14.16,44.07,44.82,45.14,45.9,44.78,42.7
GABARAPL1,51.54,55.38,40.56,8.76,10.45,6.33,6.58,4.92,7.89
KIF21A,6.07,8.42,3.96,10.71,10.78,10.39,11.0,11.76,12.76
CPNE8,2.51,2.6,0.91,1.35,2.26,0.57,1.46,0.97,0.75
YARS2,5.65,7.35,5.92,6.26,7.26,6.29,10.58,8.68,9.44
FGD4,0.1,0.1,0.29,0.04,0.05,0.1,0.69,0.14,0.4
ALG10,5.96,4.89,6.01,8.84,10.55,10.15,10.71,8.56,9.0
PIK3C2G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SINHCAF,28.77,36.29,28.07,93.37,96.72,74.07,78.79,82.94,74.39
PLCZ1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AEBP2,23.69,30.67,26.39,25.67,24.22,21.69,26.83,25.63,25.73
SLCO1C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETFBKMT,0.76,0.92,0.19,0.85,0.75,0.91,0.55,0.89,0.57
ETNK1,23.96,21.82,20.72,36.28,33.3,36.47,36.98,35.44,31.63
ZCRB1,12.59,15.44,12.29,38.55,36.99,44.69,47.05,42.41,40.63
TMEM117,2.51,1.9,1.52,0.54,1.18,0.33,1.11,0.39,0.93
PRICKLE1,0.17,0.48,0.17,0.0,0.16,0.07,0.01,0.0,0.04
C1RL,9.48,13.22,7.25,11.82,12.13,6.74,9.39,8.21,7.57
NDUFA9,35.36,29.32,29.11,46.15,49.0,44.0,49.33,48.48,47.08
CLSTN3,21.19,21.43,16.58,24.25,25.3,22.29,24.64,23.22,21.36
KLRG1,34.55,34.5,11.19,2.37,2.9,1.1,1.06,1.21,0.9
VAMP1,25.69,27.73,32.54,22.93,23.12,19.55,21.31,20.72,20.82
TAPBPL,9.19,9.71,12.56,11.21,11.13,10.23,12.33,10.34,11.36
CD27,37.7,40.33,55.58,22.93,22.07,35.35,37.68,38.27,37.37
RBP5,0.0,0.11,0.1,0.07,0.17,0.03,0.11,0.0,0.19
PEX5,13.16,10.29,9.76,10.98,10.64,14.49,14.66,16.17,15.97
PIANP,0.65,1.01,0.04,0.33,0.27,0.04,0.24,0.03,0.07
SLC38A4,0.0,0.0,0.0,0.01,0.11,0.0,0.11,0.06,0.0
AMIGO2,5.54,6.08,6.16,7.87,7.03,5.57,6.29,6.12,5.53
SCAF11,70.8,79.02,67.7,49.15,49.71,47.79,49.07,49.67,48.7
COL2A1,0.0,0.0,0.02,0.0,0.03,0.05,0.06,0.0,0.01
PPFIA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANP32D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LLPH,8.05,7.12,9.7,9.97,8.26,9.05,9.33,9.08,9.51
RPL14P1,2.64,4.25,5.08,5.3,6.08,3.81,4.52,5.14,4.38
LRIG3,0.01,0.0,0.0,0.08,0.1,0.07,0.01,0.15,0.08
MARCH9,21.15,23.83,18.14,14.23,14.49,11.29,12.57,11.92,11.51
INHBE,0.0,0.02,0.0,1.65,2.08,2.22,2.0,1.88,2.31
GLIPR1,42.62,43.95,20.51,4.3,6.26,1.74,2.64,2.05,2.65
TPH2,0.03,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.02
PHLDA1,5.18,5.03,2.87,14.5,14.41,7.9,8.29,8.53,7.93
TMEM19,6.86,6.05,7.09,8.01,6.56,6.62,6.23,7.31,8.87
LGR5,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
PTPRQ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DUSP6,8.38,5.89,3.17,78.72,69.19,49.48,48.07,50.64,48.06
POC1B,9.01,8.1,8.98,27.78,26.61,22.46,22.4,23.64,23.22
TMTC3,2.68,3.25,3.91,3.15,2.64,3.05,4.08,3.22,3.18
LUM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KERA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNRPF,12.41,14.4,11.31,15.67,16.35,14.38,15.25,16.31,18.21
AMDHD1,0.47,0.17,0.44,0.96,0.69,2.01,1.56,0.95,1.06
NEDD1,8.92,10.12,11.07,24.72,25.03,23.76,24.46,25.28,25.56
SYCP3,0.2,0.39,0.18,0.13,0.58,0.5,0.38,0.25,0.5
ASCL1,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
GAS2L3,0.02,0.02,0.03,2.93,2.03,2.26,3.88,2.64,2.84
TMEM132B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC15A4,10.47,13.28,7.47,8.55,8.21,7.22,8.08,6.95,8.18
TDG,9.98,10.73,11.99,12.44,11.29,12.91,10.37,12.25,13.62
RITA1,2.75,3.36,3.8,9.21,8.98,9.57,10.43,10.21,9.87
SDSL,0.24,0.97,0.0,1.38,0.89,0.25,0.12,0.33,0.11
MMAB,5.02,5.07,4.57,6.0,6.01,10.34,10.62,9.45,8.16
GLTP,11.81,12.67,10.16,10.27,10.16,10.13,10.21,10.46,9.57
GIT2,40.61,44.55,38.62,30.23,28.72,28.69,31.16,29.42,30.3
TCHP,9.55,11.12,14.29,9.7,8.08,11.29,10.45,9.78,9.95
FAM222A,0.75,1.82,0.73,0.23,0.16,0.29,0.23,0.32,0.15
FOXN4,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.01,0.03
NUP58,23.22,23.85,23.59,43.95,36.78,37.3,40.19,37.01,36.58
MTMR6,9.45,8.22,7.47,6.75,7.3,6.05,6.0,5.95,5.81
SLC46A3,6.25,5.21,5.51,3.11,3.66,3.02,3.04,3.35,2.63
SLC7A1,8.84,9.31,7.98,82.69,79.49,82.46,80.42,87.5,81.03
PDX1,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.04,0.0
LNX2,1.97,2.21,1.99,2.81,2.73,2.99,2.99,3.01,3.27
SUOX,1.37,1.11,1.26,3.39,3.62,4.3,4.11,4.33,4.05
CCDC65,9.57,7.74,2.8,0.14,0.38,0.19,0.12,0.43,0.23
SLC39A5,0.24,0.0,0.06,0.19,0.62,0.22,0.47,0.83,0.18
TARBP2,10.88,13.45,13.55,16.28,14.92,19.2,16.92,18.32,18.53
RDH16,0.32,0.7,0.46,0.65,0.73,0.63,0.87,0.63,1.0
DHH,0.07,0.05,0.18,0.05,0.02,0.19,0.17,0.13,0.09
ACVRL1,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.0,0.0
GPR84,0.0,0.0,0.0,6.89,8.22,1.06,1.6,1.06,1.35
NPFF,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0
NABP2,5.7,6.43,4.72,26.69,23.21,29.86,30.26,32.51,31.87
N4BP2L1,22.02,20.23,23.82,22.23,21.19,13.3,15.99,16.23,14.68
CELA1,0.42,0.55,1.39,0.04,0.17,0.11,0.11,0.16,0.0
SMARCC2,56.57,62.64,53.73,43.08,43.37,43.54,43.1,46.16,43.58
BRCA2,1.45,1.34,1.85,15.95,16.34,15.34,17.27,15.02,15.97
KANSL2,42.77,50.57,43.88,32.07,29.72,42.13,41.98,38.8,41.57
CERS5,19.21,24.53,23.36,37.84,43.56,35.1,34.35,40.17,37.53
MAP3K12,14.88,12.81,8.55,8.1,8.17,9.24,9.85,11.98,9.01
ITGB7,136.78,152.12,98.59,48.14,42.2,29.54,36.63,34.65,33.81
GALNT6,5.34,8.41,6.43,5.61,4.34,4.12,5.24,4.86,5.73
CSAD,23.18,26.72,27.8,18.45,18.92,18.57,18.81,20.57,19.95
LMBR1L,105.06,121.34,120.76,34.56,35.6,41.74,45.0,42.28,40.43
C12orf10,15.36,14.57,13.85,38.84,34.16,37.2,34.77,39.35,35.03
ESYT1,78.74,86.9,72.3,36.56,36.83,31.13,31.06,34.27,33.62
TMBIM6,154.48,165.63,133.15,339.02,341.93,310.03,314.16,330.04,311.39
ANKRD52,17.71,17.09,14.31,20.19,23.02,20.3,21.1,23.96,22.46
KRT71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF740,11.2,15.63,22.51,19.1,21.54,20.74,20.6,23.57,19.97
SMIM2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
WDFY2,12.22,12.13,10.64,5.43,6.12,6.52,5.61,5.98,7.03
HNRNPA1L2,6.7,6.84,5.61,5.32,5.07,5.47,5.11,5.42,6.01
LPAR6,27.9,26.56,14.38,5.12,4.77,1.64,1.37,1.77,1.48
ESD,13.6,13.9,17.83,39.89,39.9,55.5,50.97,56.47,54.72
RB1,9.21,10.28,8.11,14.05,14.1,13.64,15.67,14.91,15.7
SBNO1,14.17,15.48,14.83,17.99,17.99,15.92,16.01,16.78,16.78
MORN3,3.61,3.57,1.55,1.05,1.37,0.98,1.33,1.42,1.48
SETD1B,34.22,37.63,42.22,8.76,9.27,8.48,8.82,9.18,9.28
VPS33A,9.63,12.65,9.05,10.14,11.42,10.51,10.03,10.36,10.11
VPS37B,31.25,36.8,33.84,16.16,15.86,11.28,11.97,11.91,11.9
RHOF,56.64,59.88,54.83,66.63,65.32,65.5,68.71,69.07,68.21
DENR,16.07,15.69,15.57,27.46,25.02,27.66,30.04,32.02,31.49
DIAPH3,0.05,0.06,0.18,12.31,12.12,11.85,12.83,12.34,12.35
SLAIN1,17.37,16.67,16.7,10.72,11.69,9.72,10.25,11.29,11.89
RBM26,31.18,33.16,39.05,27.0,27.0,26.28,28.8,29.13,27.21
SRRM4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
METTL21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MBNL2,14.68,14.44,8.38,11.64,13.25,6.31,6.2,5.63,6.71
RNF113B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZIC5,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
ABHD13,5.75,5.94,6.16,2.82,2.43,2.13,2.19,2.39,2.19
RAB20,0.34,0.2,0.58,1.28,1.23,1.24,0.76,0.87,0.94
GRTP1,0.05,0.08,0.43,0.34,0.25,0.7,1.06,0.89,0.86
CUL4A,29.48,35.36,33.02,30.83,30.44,31.6,34.16,31.92,34.0
TTC6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSTR1,0.0,0.01,0.0,0.0,0.01,0.0,0.01,0.0,0.03
CDH24,1.06,1.06,1.21,0.65,0.61,0.41,0.34,0.52,0.34
REM2,4.37,4.56,3.16,1.99,2.15,1.88,1.94,1.92,1.67
CBLN3,1.23,1.68,1.98,13.25,14.49,7.18,6.54,6.49,6.84
TSSK4,0.35,0.19,0.14,0.38,0.29,0.09,0.03,0.05,0.0
NOVA1,0.1,0.11,0.06,0.19,0.26,0.26,0.04,0.28,0.24
FITM1,1.13,1.08,1.29,0.94,0.44,0.51,0.19,0.16,0.35
MDGA2,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
TMX1,6.35,6.65,8.81,12.48,12.22,9.71,10.68,9.91,10.26
FRMD6,0.4,0.37,0.64,3.34,2.96,2.8,2.7,3.14,3.68
PELI2,4.12,4.56,5.09,4.89,5.0,5.78,4.87,5.34,4.27
RTN1,0.0,0.0,0.1,0.0,0.03,0.0,0.01,0.02,0.0
ARMH4,0.0,0.0,0.01,0.12,0.07,0.03,0.0,0.02,0.02
SYT16,0.0,0.0,0.0,0.04,0.0,0.02,0.01,0.06,0.19
SLC38A6,6.75,4.76,8.1,2.56,2.12,2.07,3.31,2.84,2.14
NAA30,9.02,9.11,7.75,8.56,9.57,9.4,10.64,10.63,11.36
ADAM21,0.02,0.06,0.02,0.06,0.04,0.0,0.0,0.0,0.0
RDH12,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
DCAF5,29.87,31.48,32.27,22.61,24.87,20.52,22.28,24.55,22.49
RAB15,1.68,1.68,3.89,2.61,2.39,1.93,1.83,2.09,2.09
WDR89,6.37,5.17,8.59,7.81,9.19,8.59,9.77,8.42,10.02
ESR2,0.02,0.0,0.08,0.1,0.14,0.29,0.43,0.01,0.07
KCNH5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STON2,0.25,0.17,0.71,0.05,0.03,0.21,0.04,0.02,0.09
EFCAB11,0.35,0.81,0.95,5.52,4.76,6.35,5.71,4.55,6.08
GPR65,5.6,5.73,3.54,13.72,13.46,9.01,10.24,10.14,10.04
