gene_name,H9_1,H9_2,PP_1,PP_2,PC_1,PC_2,OC_2,OC_1,NC_1,NC_2,EC_1,EC_2
CHTF8,82.29,76.91,48.75,50.18,54.2,42.39,32.76,35.1,68.38,59.63,64.23,64.49
ADAL,4.67,4.07,4.2,4.74,5.04,2.57,3.65,4.12,4.7,5.1,3.18,2.87
LCMT2,7.89,7.55,4.79,4.97,5.68,5.24,3.25,3.38,8.32,8.07,5.54,5.72
SNTB2,7.67,9.23,17.07,14.46,9.19,8.8,14.75,17.44,13.83,12.4,6.42,6.98
IL12A,0.16,0.23,0.1,0.15,0.14,0.13,0.1,0.19,0.13,0.23,0.13,0.06
ZNF507,13.32,14.22,17.68,19.47,13.46,9.41,8.33,9.12,15.58,14.5,12.07,12.72
STX18,10.72,9.58,17.19,17.05,15.18,12.02,9.94,11.35,17.61,15.73,10.36,15.15
NSG1,3.61,4.25,21.88,24.79,29.79,90.87,0.0,0.05,10.4,10.49,3.13,2.75
ZBTB49,3.06,4.0,5.2,4.49,4.01,3.27,2.4,1.33,3.43,2.46,2.84,2.69
GFM1,21.06,21.53,13.88,15.5,18.41,21.12,14.13,16.9,14.89,14.78,15.11,16.99
OR13J1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HTR1E,0.0,0.0,0.02,0.06,0.16,0.22,0.0,0.0,0.0,0.0,0.71,0.61
FSTL5,0.0,0.01,6.49,4.77,1.49,4.0,0.04,0.01,2.79,3.19,0.28,0.5
TPTE2P5,0.13,0.18,0.85,1.34,0.98,0.61,0.71,0.84,0.48,0.86,0.0,0.11
DDX19A,26.02,27.18,20.71,21.03,21.81,17.42,17.51,20.03,27.19,23.67,17.23,20.78
ATOH8,0.1,0.09,0.53,0.78,5.67,0.75,2.19,2.7,3.03,3.3,0.51,0.58
SOX14,0.16,0.26,0.0,0.0,0.12,0.26,0.0,0.0,0.08,0.16,0.05,0.06
ANKRD49,7.75,6.33,9.59,7.91,6.2,9.12,4.2,4.48,4.55,5.02,5.91,5.09
SFTPB,0.0,0.0,0.0,0.1,1.12,9.65,0.0,0.0,0.0,0.19,0.0,0.0
USP39,36.12,35.64,24.93,26.18,25.88,18.19,16.38,19.47,41.01,42.13,33.45,34.44
TNIP2,19.22,20.43,10.99,9.57,10.47,10.97,12.67,12.53,11.54,10.78,14.81,15.07
C2orf68,18.43,18.14,28.02,32.0,27.57,24.73,15.19,17.25,23.62,21.62,25.76,30.25
TMEM150A,8.65,8.85,10.87,11.23,8.21,7.01,6.76,7.97,9.77,8.98,13.24,14.62
