gene_name,H9_1,H9_2,PP_1,PP_2,PC_1,PC_2,OC_2,OC_1,NC_1,NC_2,EC_1,EC_2
TSPAN6,28.62,28.06,69.9,75.3,41.13,58.75,18.33,19.44,30.67,30.6,38.71,35.35
TNMD,0.57,0.77,0.03,0.0,0.96,0.46,0.06,0.0,0.0,0.0,3.08,2.27
DPM1,29.18,29.3,18.33,18.63,14.99,17.17,12.18,14.44,21.26,18.39,24.28,24.95
SCYL3,1.66,1.77,6.2,6.54,5.13,5.3,3.41,3.07,3.98,3.46,3.29,3.59
C1orf112,9.24,9.98,9.7,9.24,7.32,4.73,1.81,2.98,13.13,12.3,7.88,7.38
FGR,0.07,0.03,0.0,0.0,0.04,0.04,0.0,0.0,0.02,0.0,0.04,0.0
CFH,0.0,0.0,0.0,0.01,0.68,0.68,93.63,94.83,0.0,0.08,0.0,0.0
FUCA2,32.53,33.0,28.19,30.33,19.89,30.24,21.85,24.43,21.52,22.43,26.28,26.64
GCLC,21.96,25.4,14.27,22.29,22.61,51.54,16.26,13.87,9.93,11.77,22.48,20.33
NFYA,18.88,19.65,26.16,27.84,16.72,13.18,10.03,9.97,27.01,25.59,18.36,20.39
STPG1,4.32,3.82,6.98,8.66,3.6,3.01,1.96,2.05,2.89,3.3,6.01,7.53
NIPAL3,3.6,3.54,5.49,6.09,7.25,8.94,9.62,10.87,1.34,1.02,2.67,2.5
LAS1L,32.89,33.37,16.11,17.52,17.42,12.32,12.49,11.63,22.91,20.78,25.42,25.0
ENPP4,1.34,1.46,4.96,5.16,2.03,3.09,0.1,0.07,1.6,1.42,1.72,1.59
SEMA3F,5.42,6.52,9.86,11.95,19.9,17.6,4.4,4.95,2.53,1.8,16.85,20.37
CFTR,0.51,0.54,2.77,4.07,4.55,9.24,0.0,0.0,0.0,0.0,0.4,0.92
ANKIB1,21.93,19.21,24.25,29.77,24.33,27.31,23.74,28.65,16.21,17.98,22.01,23.36
CYP51A1,38.67,36.59,33.3,40.45,34.3,34.9,18.3,19.21,84.72,84.15,31.38,33.14
KRIT1,17.38,15.98,20.48,23.24,18.0,14.61,14.26,15.43,21.12,21.16,15.04,16.54
RAD52,8.28,7.01,21.98,18.54,13.57,11.91,6.63,5.9,8.63,9.08,13.29,15.96
MYH16,0.0,0.0,0.02,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAD,11.42,10.64,19.59,19.26,20.16,16.5,27.41,26.15,19.94,20.2,17.41,19.22
LAP3,21.91,24.32,34.07,34.42,20.27,17.33,16.43,16.83,21.53,20.04,17.33,18.16
CD99,42.14,42.13,151.13,147.87,121.09,156.17,231.12,259.76,69.69,70.82,131.46,142.55
CD99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HS3ST1,0.09,0.02,1.4,0.85,1.02,1.93,0.1,0.11,0.04,0.16,0.54,0.58
AOC1,0.05,0.13,1.23,0.84,8.87,11.03,0.0,0.0,0.0,0.0,0.03,0.0
WNT16,0.03,0.02,0.0,0.0,0.46,0.27,0.3,0.1,0.0,0.0,0.39,0.26
HECW1,2.04,2.31,0.21,0.04,0.56,0.38,0.06,0.02,1.24,1.53,1.68,2.07
MAD1L1,17.04,17.86,20.79,22.78,16.87,13.47,12.17,11.55,21.84,23.06,19.26,27.91
LASP1,55.59,55.25,56.57,60.59,65.71,88.19,149.46,156.67,41.48,37.47,73.76,80.39
SNX11,9.91,9.14,7.01,8.75,7.91,6.83,6.82,6.22,11.36,9.69,8.7,8.95
TMEM176A,0.06,0.06,4.0,3.59,37.31,44.72,0.0,0.0,0.87,0.84,0.0,0.05
M6PR,69.56,74.43,79.04,90.33,53.62,111.17,47.02,52.9,66.59,61.25,103.39,115.78
KLHL13,1.83,1.88,2.32,2.85,4.21,2.18,0.01,0.01,7.12,5.64,1.71,1.66
CYP26B1,0.1,0.09,13.15,16.91,9.79,2.25,0.47,0.34,6.78,7.02,0.07,0.04
ICA1,13.32,13.18,20.38,27.78,4.06,6.28,0.83,0.66,1.52,1.79,12.17,11.37
DBNDD1,39.56,39.93,23.96,24.22,4.8,8.92,0.29,0.49,2.46,2.09,14.15,14.34
ALS2,13.36,12.98,20.07,22.63,15.09,13.73,13.21,14.96,15.87,15.88,22.95,25.73
CASP10,1.49,1.22,3.75,4.48,1.49,0.69,0.13,0.04,0.0,0.0,1.82,2.72
CFLAR,2.61,3.49,19.26,22.51,10.96,24.61,17.05,18.43,6.31,7.15,56.8,76.23
TFPI,2.6,2.67,7.32,10.6,5.07,4.05,120.81,127.69,3.52,2.99,15.69,15.6
NDUFAF7,49.05,47.05,11.51,16.29,10.57,8.28,6.63,6.84,9.63,10.74,23.39,24.72
RBM5,49.99,56.34,134.34,142.81,100.96,71.58,79.17,86.13,93.82,82.72,63.28,75.31
MTMR7,2.59,2.35,4.28,5.63,3.09,4.1,0.74,0.66,0.92,1.16,1.23,1.25
SLC7A2,4.65,3.78,15.15,18.79,32.35,38.59,42.97,50.33,5.33,4.81,14.32,15.4
ARF5,80.64,77.18,100.28,114.84,78.16,79.91,71.1,68.57,66.26,68.53,91.69,106.56
SARM1,2.47,2.33,8.34,9.22,12.24,5.64,10.36,12.12,20.9,22.49,1.35,0.92
POLDIP2,37.99,37.88,28.66,29.72,32.84,38.18,29.71,30.71,33.2,33.53,31.56,32.8
PLXND1,22.05,23.28,7.52,7.94,23.58,29.84,133.14,120.8,19.47,16.88,29.36,37.82
AK2,65.81,72.69,48.5,51.66,57.87,58.14,35.19,35.58,59.3,57.53,51.89,51.85
CD38,0.26,0.03,0.0,0.12,0.14,0.15,0.03,0.03,0.05,0.02,0.03,0.05
FKBP4,108.23,101.2,62.23,59.46,52.75,118.89,16.12,16.11,49.87,43.54,106.05,115.15
KDM1A,89.94,93.2,82.34,85.74,64.19,41.53,38.37,40.89,112.35,110.54,73.8,69.71
RBM6,37.13,41.48,60.3,67.93,45.14,40.37,34.05,37.3,56.07,49.97,42.59,52.69
CAMKK1,2.94,3.05,1.51,1.49,1.11,0.35,0.47,0.67,1.75,1.92,1.99,1.73
RECQL,19.58,18.75,15.27,16.98,10.59,15.19,15.16,16.61,11.83,10.58,30.25,30.24
VPS50,4.32,6.24,12.49,11.65,10.98,11.85,8.82,9.79,8.06,6.86,7.05,6.78
HSPB6,0.17,0.17,0.12,0.15,0.25,0.18,0.24,0.14,0.28,0.16,0.51,0.41
ARHGAP33,8.54,8.92,19.35,24.46,29.75,6.86,5.67,3.86,47.71,47.12,8.2,6.84
NDUFAB1,83.51,88.03,31.69,36.13,35.75,43.16,18.51,22.73,46.37,44.71,54.65,48.42
PDK4,0.0,0.0,12.15,9.44,7.57,4.91,0.21,0.41,0.01,0.03,0.25,0.33
SLC22A16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZMYND10,0.28,0.65,0.36,0.98,5.55,0.74,0.6,0.19,1.08,0.98,0.19,0.62
ABCB5,0.0,0.0,0.0,0.0,0.82,0.0,0.0,0.07,0.0,0.0,0.0,0.0
ARX,0.19,0.11,2.41,2.02,5.0,5.22,0.0,0.0,0.09,0.07,0.03,0.04
SLC25A13,31.42,32.82,22.55,26.14,23.09,19.48,10.9,10.49,31.77,29.28,45.92,52.0
ST7,4.98,5.89,10.35,9.86,10.36,7.67,25.51,27.84,11.2,9.6,3.52,4.04
CDC27,32.8,37.75,36.49,35.65,38.69,26.01,41.64,39.02,65.95,53.43,31.6,32.76
SLC4A1,0.06,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.02,0.0,0.02
CALCR,0.2,0.24,0.0,0.0,0.04,0.05,0.0,0.0,0.02,0.03,6.77,7.64
HCCS,20.23,17.95,8.72,8.7,11.6,16.69,10.4,12.34,8.6,8.96,13.68,11.25
DVL2,38.36,37.95,43.3,46.7,38.88,26.4,37.09,33.58,57.19,60.01,38.42,44.67
PRSS22,1.11,0.87,9.74,11.69,17.62,23.89,0.0,0.0,0.0,0.0,1.74,2.28
UPF1,37.99,39.06,37.95,39.23,31.67,30.3,21.6,24.57,32.13,32.79,30.64,39.7
SKAP2,0.88,1.46,19.39,19.3,10.55,25.88,4.36,5.26,1.41,1.48,1.89,1.48
SLC25A5,215.3,207.93,93.64,101.57,177.18,197.73,91.25,93.71,178.48,172.81,148.38,146.01
MCUB,7.37,6.79,1.61,1.81,4.18,3.51,5.5,5.41,7.94,6.8,2.77,2.36
HOXA11,0.0,0.0,0.02,0.0,0.5,0.02,0.0,0.0,0.0,0.0,0.0,0.0
POLR2J,23.82,26.76,20.28,22.77,19.93,19.01,16.84,17.38,27.32,26.21,22.15,22.1
DHX33,30.43,31.96,11.25,11.73,10.85,6.15,6.5,7.24,15.51,16.09,15.95,15.92
MEOX1,0.0,0.0,0.52,0.51,7.13,2.41,0.0,0.0,0.49,0.75,0.0,0.0
THSD7A,0.4,0.19,1.96,3.67,5.92,1.59,0.73,0.3,2.41,2.05,0.38,0.33
LIG3,44.31,43.93,42.04,45.47,30.22,22.09,16.64,14.78,55.36,47.3,46.86,50.2
RPAP3,24.29,22.36,15.19,17.94,16.54,13.31,12.42,10.97,19.87,21.18,20.93,23.64
ACSM3,1.83,1.43,49.72,59.05,9.35,21.51,0.35,0.64,0.21,0.17,0.92,0.72
REXO5,3.48,3.06,3.34,4.29,3.41,1.91,0.92,1.62,4.16,4.31,2.4,1.97
CIAPIN1,38.91,37.87,33.13,37.52,28.25,30.97,19.42,21.87,45.13,41.67,37.85,35.23
SPPL2B,31.63,33.71,63.99,66.47,54.14,62.67,28.64,29.06,51.4,50.98,45.54,53.61
FAM214B,2.77,2.55,7.4,8.76,6.47,9.8,11.27,10.24,6.67,5.24,9.27,10.3
COPZ2,0.35,0.31,0.11,0.29,2.37,0.8,18.4,20.44,1.8,1.72,0.0,0.13
PRKAR2B,6.95,7.58,8.49,8.64,2.99,2.63,1.21,1.31,6.26,6.19,3.81,3.31
MSL3,6.4,5.94,13.42,14.99,10.14,14.29,10.34,9.76,12.22,12.52,7.29,8.19
CREBBP,36.98,36.2,60.17,65.9,38.76,35.79,40.7,40.81,42.92,36.32,38.96,46.83
TSPOAP1,8.64,7.93,42.12,47.28,7.64,4.06,0.02,0.01,13.42,11.95,10.61,14.21
MPO,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0
PON1,0.07,0.41,0.38,1.04,0.41,1.26,0.0,0.0,0.04,0.07,0.15,0.22
GCFC2,7.8,8.35,11.62,15.74,8.19,9.27,4.9,6.24,10.83,11.6,6.4,8.47
WDR54,29.64,30.4,12.62,12.64,17.27,4.2,5.88,6.2,25.42,24.38,19.7,19.58
CROT,2.82,2.76,7.57,9.43,9.06,8.24,4.08,4.85,8.82,7.93,2.43,2.87
ABCB4,0.12,0.09,0.27,0.27,0.66,0.42,0.02,0.0,2.96,2.49,0.18,0.35
KMT2E,15.6,17.48,44.72,48.41,31.29,26.5,28.12,27.92,34.99,32.38,24.6,32.01
RHBDD2,12.58,13.71,26.28,29.09,31.12,30.89,16.68,19.4,35.27,34.53,22.22,23.44
SOX8,4.36,4.08,2.79,3.19,2.77,0.57,0.1,0.12,8.69,8.31,2.43,2.32
IBTK,8.12,7.83,14.55,16.53,17.85,12.86,10.43,10.72,12.83,11.34,15.09,16.29
ZNF195,49.39,52.97,35.04,40.0,22.12,17.85,6.88,6.03,30.94,30.72,28.96,29.58
MYCBP2,12.15,14.65,24.37,29.18,29.71,40.23,31.54,34.74,32.19,32.31,12.71,14.78
FBXL3,7.48,7.64,7.5,9.84,11.9,15.4,16.0,16.69,11.03,9.3,6.53,6.49
ITGAL,0.15,0.11,0.22,0.22,0.2,0.14,0.0,0.0,0.0,0.0,0.11,0.08
PDK2,7.37,9.12,15.51,16.09,18.61,12.55,24.62,25.66,10.82,9.28,10.56,10.47
ITGA3,10.35,10.29,7.35,8.79,8.4,11.46,74.72,84.64,1.99,2.04,10.08,9.86
ZFX,32.26,30.55,47.21,52.12,32.99,28.94,31.49,34.45,38.86,35.85,24.39,23.21
LAMP2,13.03,12.68,26.94,32.39,34.33,50.3,76.65,82.09,17.64,19.49,15.14,15.24
ITGA2B,4.62,3.82,0.51,1.17,3.64,0.29,0.32,0.31,3.57,3.15,3.05,2.37
ASB4,0.0,0.0,0.02,0.12,0.13,0.03,0.01,0.03,0.03,0.09,0.0,0.0
GDE1,21.74,22.22,48.33,49.59,27.64,37.83,28.96,29.06,27.23,27.09,21.49,22.69
REX1BD,36.0,33.09,27.78,30.35,26.31,22.71,22.1,21.31,31.57,30.81,39.31,34.95
CRLF1,6.32,7.39,2.51,1.96,3.22,1.16,6.34,7.16,0.3,0.64,5.91,4.76
OSBPL7,5.46,5.95,8.57,11.82,8.42,3.82,6.69,6.44,6.41,6.15,4.67,5.2
TMEM98,36.4,35.88,75.43,84.63,66.87,36.55,36.32,35.48,54.68,56.88,59.0,61.07
YBX2,11.86,10.98,1.79,1.22,2.89,1.89,0.15,0.06,0.42,0.23,3.07,2.98
KRT33A,0.0,0.0,0.0,0.0,0.1,0.81,0.0,0.0,0.0,0.0,0.0,0.0
MAP3K14,3.46,3.57,3.26,3.9,4.32,4.72,4.93,4.88,4.23,4.93,3.2,2.5
ABCC8,1.48,1.09,9.96,8.67,33.34,44.46,0.0,0.0,2.03,2.6,0.58,0.25
CACNG3,0.01,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.03,0.0,0.01,0.01
TMEM132A,38.53,43.7,122.08,117.42,90.29,68.2,42.16,45.26,85.79,92.79,50.43,61.39
AP2B1,94.71,99.16,80.89,90.29,68.48,50.53,74.63,79.77,100.47,92.72,108.09,116.16
TAC1,0.14,0.35,0.0,0.0,5.3,7.93,0.08,0.05,0.2,0.05,0.06,0.08
ZNF263,16.53,16.32,12.28,15.22,11.48,16.23,12.35,11.62,14.36,14.59,10.89,11.51
CX3CL1,0.74,0.78,0.31,0.24,7.38,0.59,0.86,1.0,2.62,2.59,0.08,0.08
SPATA20,12.14,10.94,35.11,40.68,21.26,16.92,21.62,21.06,10.71,11.07,16.56,18.36
CACNA1G,0.77,0.67,0.08,0.16,11.53,0.81,0.04,0.04,0.48,0.46,0.79,0.5
TNFRSF12A,67.48,67.41,18.49,25.88,9.92,23.33,26.54,27.72,1.36,1.48,20.32,19.79
DLX6,0.0,0.11,0.16,0.45,10.55,1.49,0.55,0.36,0.14,0.11,0.05,0.07
MAP3K9,8.33,9.14,13.26,12.43,6.16,11.51,0.49,0.52,4.93,4.43,13.27,15.52
RALA,25.05,26.29,16.54,19.11,17.65,18.52,11.35,13.12,17.36,16.8,19.61,19.97
BAIAP2L1,13.65,11.83,14.29,14.74,11.59,18.35,4.06,3.28,0.93,0.65,13.54,13.85
KDM7A,3.2,3.01,5.76,5.1,3.1,3.92,3.28,2.77,2.3,2.08,8.42,11.13
ETV1,32.75,31.33,11.39,11.34,14.73,6.48,5.66,5.56,45.57,38.34,16.82,14.17
AGK,13.93,16.07,10.67,13.5,13.22,12.05,10.35,9.5,16.24,15.3,13.78,13.74
ALDH3B1,0.0,0.04,0.03,0.04,0.72,0.4,2.42,1.79,0.1,0.15,0.03,0.0
TTC22,0.25,0.27,1.01,1.1,2.9,5.2,0.0,0.0,0.0,0.0,0.13,0.24
PHTF2,7.74,7.41,5.42,5.52,7.7,4.83,10.89,11.65,10.11,8.5,6.56,7.01
CCL26,3.97,4.27,0.0,0.0,1.07,0.42,0.18,0.1,0.0,0.0,0.96,1.31
FARP2,14.15,15.52,26.54,30.19,25.9,29.9,20.28,26.83,15.13,15.47,14.04,16.54
USH1C,0.67,0.48,6.61,9.64,9.01,12.63,0.0,0.0,0.05,0.0,0.42,0.7
GGCT,38.77,38.85,22.86,24.33,30.07,43.96,9.01,10.22,32.15,33.23,23.94,21.11
DBF4,34.62,34.74,10.38,12.47,15.64,6.41,3.62,3.43,41.5,39.56,22.13,21.13
TBXA2R,0.29,0.29,0.0,0.0,0.0,0.03,0.11,0.06,0.23,0.1,0.22,0.13
IFRD1,27.65,31.01,31.99,37.14,32.46,39.14,29.16,28.8,34.62,32.82,22.92,26.18
LGALS14,0.08,0.09,0.0,0.0,0.21,0.2,0.0,0.0,0.0,0.0,0.34,0.1
COX10,9.37,9.41,10.03,10.25,10.14,11.16,5.8,5.86,9.48,8.26,6.68,6.84
GTF2IRD1,18.18,15.68,25.34,23.71,19.84,18.31,18.12,17.12,21.11,21.47,23.72,24.92
PAF1,15.89,17.4,20.62,22.31,18.04,15.52,17.09,17.44,29.61,26.97,13.27,13.11
VPS41,22.99,22.57,52.09,57.81,39.57,38.23,38.94,44.03,29.5,30.93,29.21,35.46
ARHGAP44,4.95,4.52,5.19,5.78,4.52,7.35,2.68,1.87,2.6,2.79,5.48,6.46
ELAC2,39.75,41.48,31.07,35.79,23.09,21.09,19.29,18.96,28.92,28.69,30.4,35.06
SCIN,0.23,0.2,0.04,0.21,1.63,1.45,0.59,0.97,0.0,0.01,0.05,0.07
ARSD,4.34,4.72,32.05,36.97,16.02,22.96,16.6,15.65,4.92,3.78,6.34,7.13
PNPLA4,8.96,9.8,7.55,8.47,9.77,8.13,5.82,5.5,5.98,5.59,10.38,11.11
MYH13,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADIPOR2,20.13,20.73,34.9,38.48,20.37,43.19,16.19,15.39,24.92,25.48,52.33,56.36
CDKL3,1.27,1.16,2.53,1.35,2.16,0.35,1.45,1.26,2.26,2.32,1.21,1.05
UPP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRSS21,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07
MARK4,21.35,20.45,25.2,25.9,19.57,16.31,22.79,25.45,25.15,25.65,24.03,33.93
PROM1,43.29,44.98,43.85,54.38,12.55,5.43,0.0,0.0,26.73,27.98,22.07,23.47
CCDC124,53.5,54.38,35.2,36.13,37.66,36.15,30.47,32.49,55.23,52.5,56.76,58.83
CEACAM21,0.0,0.0,0.06,0.0,0.0,0.1,0.0,0.0,0.48,0.32,0.07,0.23
PAFAH1B1,59.11,61.28,58.29,62.19,52.15,50.4,51.49,51.96,60.01,55.52,65.05,71.25
NOS2,0.27,0.16,0.66,0.37,0.46,3.21,0.01,0.0,0.29,0.39,0.2,0.12
DNAH9,0.11,0.1,0.63,1.05,2.58,0.13,0.0,0.0,11.15,7.97,0.39,0.29
KIAA0100,64.57,62.45,79.48,82.18,62.61,60.44,59.03,66.36,77.04,81.93,55.89,65.25
SLC13A2,0.0,0.0,0.13,0.13,0.51,3.65,0.0,0.0,0.0,0.0,0.05,0.03
GAS7,2.19,2.74,1.42,1.73,8.09,2.48,6.73,7.04,37.28,31.15,6.05,6.68
TRAPPC6A,26.37,27.4,18.28,18.2,15.2,17.35,10.94,12.05,9.75,10.76,24.03,25.72
MATK,5.0,6.16,0.75,0.81,0.65,0.72,0.0,0.0,0.0,0.02,2.12,2.64
CEACAM7,0.0,0.0,0.0,0.0,1.83,3.37,0.0,0.0,0.0,0.0,0.0,0.0
CD79B,0.62,0.44,0.0,0.0,0.07,0.0,0.03,0.0,0.38,0.44,0.3,0.16
SCN4A,2.3,2.65,0.04,0.25,0.16,0.0,0.0,0.0,0.82,0.68,1.62,1.77
ST7L,7.03,7.3,8.84,11.85,9.12,7.18,8.33,8.44,10.9,8.73,7.66,8.17
TKTL1,0.0,0.01,0.0,0.0,0.23,0.0,0.0,0.0,0.47,0.39,0.0,0.0
PAX6,0.05,0.01,3.18,3.38,7.81,9.99,0.0,0.0,38.11,35.89,3.87,2.44
RPUSD1,23.79,22.24,11.2,10.6,9.83,11.18,9.05,7.97,15.86,15.77,14.54,15.65
RHBDF1,16.27,15.84,21.44,26.22,11.29,10.63,21.42,21.74,20.43,19.95,30.32,32.14
LUC7L,58.32,62.6,95.82,103.69,63.81,40.04,38.75,39.31,84.56,75.94,54.56,59.24
CACNA2D2,12.81,12.68,2.88,2.5,8.02,3.29,0.1,0.05,4.11,3.73,6.61,8.02
BAIAP3,2.7,3.1,7.29,8.18,2.85,2.11,0.18,0.16,1.77,1.47,17.6,19.8
TSR3,29.65,26.89,23.72,23.72,22.0,22.7,21.58,22.65,28.84,28.38,30.25,30.66
PIGQ,29.87,26.55,45.54,49.2,34.57,24.47,23.68,23.74,37.33,39.33,48.18,58.38
CRAMP1,17.87,21.14,24.33,27.63,12.99,12.18,10.93,11.51,16.85,16.43,14.58,18.18
TEAD3,11.08,12.33,18.12,19.16,20.61,46.01,16.68,16.48,7.91,8.24,10.4,10.34
SELE,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DNAJC11,41.86,40.49,27.47,28.86,29.12,27.39,19.7,22.46,36.28,37.11,32.5,32.34
FMO3,0.0,0.0,0.0,0.02,0.23,0.04,0.39,0.6,0.0,0.0,0.0,0.0
MYLIP,12.43,12.37,33.86,26.58,22.74,18.67,21.78,21.09,2.54,1.94,10.98,11.75
NOX1,0.0,0.0,0.0,0.03,0.29,0.49,0.0,0.0,0.0,0.0,0.0,0.0
E2F2,2.33,2.33,3.24,4.36,3.9,3.55,0.49,0.51,10.42,10.06,2.69,3.32
PSMB1,114.94,112.27,64.26,72.91,65.62,63.01,51.84,57.84,76.45,74.82,108.53,108.89
SYN1,5.35,5.34,2.21,3.03,1.74,1.55,0.71,0.27,2.14,1.94,3.21,2.21
JARID2,82.35,79.71,27.37,27.42,18.2,15.09,4.64,4.67,15.16,14.55,38.1,35.01
CDKL5,7.71,8.9,9.14,9.87,7.41,7.14,4.07,4.82,1.75,1.58,7.23,8.27
CAMK1G,0.09,0.13,1.0,1.23,3.89,0.82,0.0,0.0,0.48,0.76,0.22,0.25
CDK11A,22.83,22.66,24.82,25.29,19.47,19.31,19.09,16.91,21.02,20.96,21.94,28.22
NADK,47.22,48.25,36.66,39.01,36.93,32.96,31.39,28.77,40.41,37.88,34.01,34.17
TFAP2B,0.01,0.0,0.31,0.83,4.79,31.75,9.84,10.54,32.22,28.32,0.0,0.0
TFAP2D,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
DLEC1,0.89,0.95,0.53,0.8,1.32,0.32,0.23,0.09,0.5,0.57,1.99,1.77
CYTH3,4.37,5.65,7.18,8.08,12.89,15.4,23.8,25.51,12.62,10.32,4.51,4.83
ADAM22,3.9,3.97,6.61,6.49,3.35,1.2,1.12,1.34,5.33,5.74,3.6,4.97
SYPL1,19.09,17.93,25.18,23.78,24.42,35.13,30.11,32.69,18.57,16.89,32.79,34.88
CYB561,9.95,9.46,14.4,16.79,14.3,35.77,2.11,2.32,4.63,5.23,11.52,12.52
SPAG9,22.68,24.84,23.15,26.96,34.33,30.76,37.27,41.16,60.0,49.57,24.14,29.48
CELSR3,10.7,10.95,6.21,6.86,4.06,4.29,2.63,2.82,11.67,11.65,7.67,9.42
AASS,174.7,181.97,29.32,34.37,16.89,2.66,7.93,7.84,36.04,36.2,45.84,45.32
PLEKHG6,8.05,9.17,16.92,19.82,13.41,48.15,0.08,0.21,0.24,0.2,12.6,16.9
SS18L2,42.0,44.75,16.49,19.78,13.82,13.66,6.42,6.33,22.14,21.66,18.77,17.19
MPND,17.41,16.94,25.95,28.91,18.04,18.28,5.3,7.65,19.9,19.54,18.58,25.42
MGST1,106.61,107.56,82.7,90.63,29.66,62.86,6.68,6.83,133.28,139.47,166.96,162.11
CRY1,11.72,10.75,11.22,10.43,9.88,6.13,9.55,7.87,11.18,10.64,12.19,13.61
PGLYRP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NFIX,0.09,0.14,0.19,0.23,5.14,1.78,32.38,35.86,0.1,0.29,0.09,0.1
ST3GAL1,1.55,1.66,3.0,3.3,28.18,34.95,14.24,13.54,2.89,3.94,3.72,4.41
MMP25,6.49,6.16,0.08,0.06,0.06,0.06,1.1,1.36,0.28,0.41,2.62,2.77
IL32,1.17,0.93,1.2,2.09,5.26,18.52,3.29,5.04,0.0,0.0,2.01,1.81
PKD1,33.52,40.25,40.84,43.36,54.42,32.01,62.91,71.93,47.4,49.49,34.41,50.05
MAPK8IP2,2.68,2.59,3.2,2.88,6.84,5.47,1.03,1.39,13.37,13.63,0.69,0.63
MED24,48.03,47.49,67.24,64.55,50.89,39.17,35.81,28.51,67.69,62.84,47.86,56.27
RHOBTB2,5.87,5.88,6.64,7.74,10.6,14.49,10.48,8.9,14.98,14.54,7.91,9.82
HEATR5B,5.58,6.39,9.25,9.93,7.84,7.13,6.74,7.27,8.35,7.58,8.41,9.77
SEC62,41.17,45.14,39.51,46.4,41.93,36.1,42.03,43.02,30.24,29.1,33.05,29.27
RPS20,1098.07,1126.09,668.95,763.92,744.82,772.18,534.62,553.67,881.5,851.94,800.69,766.47
CSDE1,287.26,295.12,252.95,282.78,220.52,226.27,185.67,197.64,301.04,282.71,239.19,235.28
UBE3C,27.09,28.97,26.08,27.43,21.39,24.94,22.18,24.08,20.25,20.07,23.36,25.43
REV3L,4.03,2.43,16.93,18.04,14.25,11.96,9.82,11.26,7.52,9.53,5.58,8.71
TENM1,0.23,0.18,0.25,0.32,1.39,2.87,0.02,0.02,5.83,5.33,0.54,0.78
PAX7,0.04,0.07,0.0,0.0,1.22,0.05,0.0,0.0,4.48,4.68,0.64,1.0
MASP2,0.26,0.21,0.02,0.02,0.14,0.12,0.0,0.0,0.06,0.0,0.05,0.23
IYD,0.03,0.0,0.09,0.17,0.1,0.29,0.0,0.01,0.0,0.03,0.0,0.0
FAM76A,5.61,4.87,6.14,6.84,5.87,5.15,4.74,5.94,5.45,5.93,6.44,5.92
TRAF3IP3,0.0,0.0,0.0,0.02,0.71,0.0,0.0,0.0,0.0,0.0,0.05,0.04
POMT2,9.08,11.51,27.34,30.14,21.34,19.07,10.87,12.42,20.21,20.07,25.79,26.61
VTA1,28.43,28.89,20.71,23.67,20.67,22.57,15.61,16.59,21.78,20.62,27.54,29.27
MLXIPL,2.51,2.79,20.28,21.3,11.5,14.97,0.16,0.0,0.35,0.47,14.89,18.06
BAZ1B,43.64,44.11,38.46,40.77,35.94,28.6,30.03,33.14,59.53,57.34,29.26,30.21
RANBP9,16.33,17.01,24.39,26.91,16.75,18.25,20.62,20.51,18.25,17.67,17.27,19.86
ETV7,0.43,0.42,0.03,0.0,0.72,1.39,0.22,0.09,0.07,0.0,0.18,0.19
SPRTN,6.97,6.75,5.79,6.23,5.99,5.19,5.02,5.63,7.04,7.36,4.64,5.66
METTL13,30.41,29.5,12.84,14.73,16.47,13.85,8.18,11.7,15.66,15.25,17.55,17.49
DYRK4,8.22,7.09,11.52,13.87,13.07,24.26,13.01,13.15,18.93,19.26,9.17,7.55
ZNF207,129.09,135.49,94.49,108.02,85.27,63.29,56.89,54.96,109.6,104.85,104.85,116.14
UQCRC1,136.35,130.2,91.62,94.19,113.01,136.06,75.06,76.96,126.81,127.45,118.75,131.26
STARD3NL,15.29,16.68,25.52,25.91,19.36,12.21,11.42,13.02,27.05,26.74,20.14,22.12
CD9,59.56,60.33,2.49,4.87,49.66,339.28,28.69,32.36,0.77,0.89,52.79,45.06
HHATL,0.04,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.0,0.0
NCAPD2,47.7,52.04,41.37,43.89,39.98,46.02,13.75,13.93,58.35,57.08,63.65,68.01
IFFO1,8.16,7.44,9.31,9.76,7.24,3.82,15.13,13.73,11.98,12.38,11.49,13.94
GIPR,0.25,0.28,11.37,11.89,3.33,3.84,0.47,0.31,0.44,0.41,4.86,6.63
