,Control_78_Day_0_Rep3,Control_78_Day_0_Rep4,Control_78_Day_3_Rep1,Control_78_Day_3_Rep2,FSHD2_19_Day_0_Rep1,FSHD2_19_Day_0_Rep2,FSHD2_19_Day_3_Rep1,FSHD2_19_Day_3_Rep2
ENSG00000124003.12|MOGAT1,0,3,0,1,0,0,0,0
ENSG00000233751.1|AC104772.2,0,0,0,0,0,0,0,0
ENSG00000203531.3|AC104772.1,1,2,7,6,4,1,4,3
ENSG00000235225.1|AC016712.1,2,0,1,0,0,0,1,0
ENSG00000123983.13|ACSL3,2763,2639,2951,4196,805,2059,1666,1977
ENSG00000224121.1|ATG12P2,0,2,0,0,0,0,0,0
ENSG00000234193.1|AC013476.1,2,2,1,0,2,0,2,0
ENSG00000278083.1|AC013476.2,0,0,1,2,1,1,0,2
ENSG00000152049.6|KCNE4,794,882,306,394,62,251,433,277
ENSG00000243125.3|RN7SL807P,0,0,0,0,0,0,0,0
ENSG00000233299.1|HIGD1AP4,0,0,0,0,0,0,0,0
ENSG00000231189.1|AC013448.1,0,3,0,0,2,1,0,0
ENSG00000235610.1|AC013448.2,0,0,0,0,0,0,0,0
ENSG00000171951.4|SCG2,302,342,483,665,24,63,590,598
ENSG00000226539.1|AC012512.1,0,0,0,1,2,1,0,0
ENSG00000152056.16|AP1S3,28,19,10,8,36,53,8,24
ENSG00000085449.14|WDFY1,956,1073,501,748,571,918,349,708
ENSG00000135900.3|MRPL44,601,638,624,827,431,501,493,504
ENSG00000228802.1|AC073641.1,0,0,0,0,0,0,0,0
ENSG00000135919.12|SERPINE2,6189,6118,1803,2697,18712,18375,3647,6285
ENSG00000224826.1|AC019109.1,0,0,0,4,3,0,0,2
ENSG00000228681.1|AC008072.1,3,6,2,5,2,1,1,1
ENSG00000124019.9|FAM124B,2,0,23,36,0,2,5,4
ENSG00000274629.1|AC073052.2,0,0,0,0,0,4,0,0
ENSG00000036257.12|CUL3,109,131,193,220,247,81,100,105
ENSG00000228446.2|AC073052.1,0,0,0,1,0,1,0,0
ENSG00000283428.1|CCDC195,0,0,1,0,0,0,0,0
ENSG00000135905.19|DOCK10,96,93,118,204,221,193,105,367
ENSG00000263828.1|MIR4439,0,0,0,0,0,0,0,0
ENSG00000144460.12|NYAP2,1,1,4,3,8,3,5,3
ENSG00000228206.2|AC016717.1,0,0,0,0,0,0,0,0
ENSG00000273301.1|AC016717.2,0,0,3,0,0,2,0,0
ENSG00000279015.1|AC016717.3,3,4,5,5,2,4,3,3
ENSG00000230621.1|AC068138.1,0,0,0,0,0,0,0,0
ENSG00000235070.3|AC062015.1,3,1,1,6,1,3,1,0
ENSG00000263363.1|MIR5702,0,0,0,0,0,0,0,0
ENSG00000169047.5|IRS1,886,1022,903,1289,1455,1494,536,1039
ENSG00000272622.1|AC010735.2,6,5,7,8,1,5,5,3
ENSG00000261379.1|AC010735.1,0,0,0,2,1,0,0,0
ENSG00000144468.16|RHBDD1,417,440,294,441,263,340,228,353
ENSG00000212391.1|RF00554,0,0,0,0,0,0,0,0
ENSG00000081052.12|COL4A4,5,16,5,13,9,6,5,22
ENSG00000169031.19|COL4A3,3,3,2,6,0,3,1,3
ENSG00000236432.7|AC097662.1,15,7,6,28,3,5,11,18
ENSG00000168958.19|MFF,1318,1382,851,1136,1038,1377,1019,1257
ENSG00000168955.3|TM4SF20,5,2,0,1,1,4,16,39
ENSG00000284629.1|SCYGR1,0,0,0,0,0,0,0,0
ENSG00000284092.1|MIR5703,0,0,0,0,0,0,0,0
ENSG00000173744.17|AGFG1,224,265,263,384,253,109,134,194
ENSG00000285843.1|AC064853.2,0,0,0,0,0,0,0,0
ENSG00000284643.1|SCYGR2,0,0,0,0,0,0,0,0
ENSG00000284622.2|SCYGR10,0,0,0,0,0,0,0,0
ENSG00000042304.11|C2orf83,3,4,2,1,6,0,0,1
ENSG00000284704.1|SCYGR3,0,0,0,0,0,0,0,0
ENSG00000236116.1|AC064853.1,0,0,0,0,0,0,0,0
ENSG00000284631.1|SCYGR4,0,0,0,0,1,1,0,1
ENSG00000284667.1|SCYGR5,0,0,0,0,0,0,0,0
ENSG00000135917.14|SLC19A3,10,6,6,14,7,7,6,6
ENSG00000284725.1|SCYGR6,0,0,0,0,0,0,0,0
ENSG00000284718.1|SCYGR7,0,0,0,0,0,0,0,0
ENSG00000284635.1|SCYGR8,0,0,0,0,0,0,0,0
ENSG00000252346.1|RNA5SP121,0,0,0,0,0,0,0,0
ENSG00000226718.1|SNRPGP8,0,0,0,0,0,0,0,0
ENSG00000229172.1|AC073065.1,3,2,2,3,5,0,2,2
ENSG00000115009.12|CCL20,35,17,2,0,15,11,4,16
ENSG00000183514.4|TDGF1P2,0,0,0,0,0,0,0,0
ENSG00000123977.9|DAW1,44,54,0,0,42,20,11,26
ENSG00000272237.1|RF00402,0,0,0,0,0,0,0,0
ENSG00000153820.12|SPHKAP,0,0,0,0,0,0,0,0
ENSG00000200281.1|RNU6-624P,0,0,0,0,0,0,0,0
ENSG00000203387.2|AC074019.1,1,6,4,0,3,2,0,0
ENSG00000232023.2|LINC01807,1,0,0,0,0,0,0,2
ENSG00000228226.1|AC012070.1,0,0,0,0,0,0,0,0
ENSG00000237322.1|RPL7L1P10,0,0,0,0,2,0,0,0
ENSG00000153823.18|PID1,1802,1849,254,379,1037,1158,857,805
ENSG00000226297.1|AC007677.1,0,0,0,0,0,0,0,0
ENSG00000253006.1|RN7SKP283,0,0,0,0,8,0,0,0
ENSG00000187957.7|DNER,55,59,4,5,205,107,17,41
ENSG00000238782.1|RNU7-9P,0,0,0,0,0,0,0,0
ENSG00000235993.1|AC007559.1,0,0,0,0,0,0,0,0
ENSG00000153827.13|TRIP12,1076,1114,1307,2075,866,822,351,1080
ENSG00000222344.1|RNU6-613P,0,0,0,0,0,0,0,0
ENSG00000153832.11|FBXO36,106,132,38,51,95,111,46,97
ENSG00000252333.1|RNU6-964P,0,0,0,0,0,0,0,0
ENSG00000231534.1|FBXO36-IT1,0,0,0,0,0,0,0,0
ENSG00000206725.1|RNU6-1027P,0,0,0,0,0,0,0,0
ENSG00000163053.10|SLC16A14,4,3,2,5,12,18,3,6
ENSG00000199400.1|RNY4P19,0,0,0,0,0,0,0,0
ENSG00000225963.7|AC009950.1,6,5,1,9,9,8,9,4
ENSG00000283451.1|AC009950.2,0,0,0,1,0,0,0,0
ENSG00000135899.17|SP110,87,91,61,79,258,182,155,131
ENSG00000079263.18|SP140,0,2,2,5,3,3,4,2
ENSG00000185404.16|SP140L,139,148,106,149,142,146,126,167
ENSG00000279964.1|AC009949.1,2,1,0,0,0,0,0,1
ENSG00000067066.16|SP100,421,425,380,491,411,388,373,460
ENSG00000243650.3|RN7SL834P,0,0,0,1,0,1,0,1
ENSG00000250011.1|HMGB1P3,0,1,1,4,0,0,0,1
ENSG00000235419.5|AC010149.1,0,0,0,1,0,0,0,0
ENSG00000183022.5|TPM3P8,0,0,0,1,0,3,0,1
ENSG00000283202.1|AC010149.2,0,0,0,0,0,0,0,0
ENSG00000199791.1|RNU6-451P,0,0,0,0,0,0,0,0
ENSG00000226125.1|LINC01907,1,1,0,2,2,3,1,0
ENSG00000135932.10|CAB39,127,100,211,311,177,69,116,137
ENSG00000237758.1|BANF1P3,0,1,0,1,3,0,1,0
ENSG00000201044.1|RNU6-268P,0,0,0,0,0,0,0,0
ENSG00000270891.1|AC012507.3,1,0,0,0,0,0,0,0
ENSG00000135916.15|ITM2C,871,963,2725,3743,805,1335,5737,4342
ENSG00000232520.1|AC012507.2,1,0,0,1,0,1,0,0
ENSG00000135898.9|GPR55,0,0,0,0,2,0,1,1
ENSG00000230385.1|AC012507.1,1,0,0,0,0,0,0,0
ENSG00000283164.1|AC012507.4,0,0,0,0,0,0,0,0
ENSG00000235013.1|COX20P2,0,0,0,0,0,0,0,0
ENSG00000238062.5|SPATA3-AS1,0,0,0,0,0,0,0,0
ENSG00000173699.16|SPATA3,1,0,2,0,0,0,0,0
ENSG00000204128.5|C2orf72,0,0,0,0,0,0,0,0
ENSG00000261829.1|AC009407.1,2,0,0,1,1,0,1,0
ENSG00000173692.12|PSMD1,3702,4135,2759,3712,2353,3334,2781,3131
ENSG00000135914.5|HTR2B,5,3,100,109,4,5,8,22
ENSG00000201574.1|RNU1-93P,0,0,0,0,0,0,0,0
ENSG00000135931.17|ARMC9,269,251,449,576,301,346,343,429
ENSG00000237039.1|AC018738.1,0,0,0,0,0,0,0,0
ENSG00000263641.1|MIR4777,0,0,0,0,0,0,0,0
ENSG00000224376.1|AC017104.1,2,2,2,3,3,0,4,5
ENSG00000156966.6|B3GNT7,3,5,3,6,4,4,3,3
ENSG00000172799.5|ZBTB8OSP2,0,0,0,0,1,0,0,0
ENSG00000230047.1|AC017104.2,0,0,0,0,0,0,0,0
ENSG00000233538.1|AC017104.3,0,0,5,8,0,2,2,0
ENSG00000115053.15|NCL,9029,8826,6275,9175,7220,8024,6179,7243
ENSG00000206885.1|SNORA75,0,0,1,1,0,0,0,0
ENSG00000207280.1|SNORD20,0,0,0,0,3,0,0,0
ENSG00000202400.1|SNORD82,0,0,0,1,0,0,0,0
ENSG00000283312.1|AC017104.4,0,1,1,1,0,1,0,1
ENSG00000283491.1|AC017104.5,0,3,2,4,1,0,0,0
ENSG00000223198.1|RNU2-22P,1,0,1,0,0,0,0,0
ENSG00000181798.2|LINC00471,11,11,12,14,6,10,11,7
ENSG00000171596.6|NMUR1,2,1,2,1,2,0,0,1
ENSG00000231494.1|AC104634.1,0,0,0,0,0,0,2,0
ENSG00000228884.2|RPL23AP26,0,0,0,0,0,0,0,0
ENSG00000177673.3|TEX44,0,0,0,0,0,0,0,0
ENSG00000239202.3|RN7SL499P,0,0,0,0,0,0,1,0
ENSG00000187514.16|PTMA,8074,7474,3278,5135,15348,15419,4384,5490
ENSG00000277986.1|RF00015,0,0,0,0,0,0,0,0
ENSG00000284378.1|MIR1244-1,0,0,0,0,0,0,0,0
ENSG00000156973.13|PDE6D,276,349,231,302,250,288,225,193
ENSG00000281072.1|AC073476.4,0,0,0,0,0,0,0,0
ENSG00000144524.17|COPS7B,327,401,359,470,391,445,355,363
ENSG00000237641.1|AC073476.1,2,1,2,0,5,1,0,1
ENSG00000261096.1|AC073476.3,2,1,0,1,4,0,1,2
ENSG00000260622.1|AC073476.2,0,0,0,0,0,0,0,0
ENSG00000222246.1|MIR1471,0,0,0,0,0,0,0,0
ENSG00000163273.3|NPPC,0,0,0,1,0,0,0,2
ENSG00000144535.19|DIS3L2,235,283,252,351,258,295,243,290
ENSG00000227033.1|AC019130.1,0,0,0,0,0,0,0,0
ENSG00000207626.1|MIR562,0,0,0,0,0,0,0,0
ENSG00000251485.1|AC068134.3,1,0,0,4,1,0,1,1
ENSG00000230122.1|ECEL1P3,0,0,0,0,0,0,0,0
ENSG00000275157.1|AC068134.4,0,0,0,0,0,0,0,0
ENSG00000163283.6|ALPP,1,0,1,0,4,0,1,0
ENSG00000224516.5|AC068134.1,0,0,0,0,0,0,0,0
ENSG00000244280.1|ECEL1P2,0,0,0,0,0,0,0,0
ENSG00000163286.8|ALPG,0,0,0,0,0,0,0,1
ENSG00000204121.2|ECEL1P1,0,0,0,0,0,0,0,0
ENSG00000237087.1|AC068134.2,0,0,0,0,0,0,0,0
ENSG00000223788.4|DIS3L2P1,0,0,0,0,0,0,0,0
ENSG00000163295.4|ALPI,0,0,0,0,0,0,0,0
ENSG00000171551.11|ECEL1,0,1,6,1,0,0,2,2
ENSG00000237412.6|PRSS56,5,15,32,46,1,15,63,35
ENSG00000135902.9|CHRND,344,346,1973,2440,4,87,7636,4135
ENSG00000196811.11|CHRNG,200,246,1694,2267,4,102,2342,2957
ENSG00000221944.7|TIGD1,85,73,122,158,74,96,132,141
ENSG00000135930.13|EIF4E2,1914,2108,1400,1962,1263,1645,1428,1453
ENSG00000284407.1|MIR5001,0,0,0,0,0,0,0,0
ENSG00000237126.8|AC073254.1,7,4,5,6,5,9,5,6
ENSG00000115468.11|EFHD1,9,10,162,420,12,16,145,292
ENSG00000244384.3|RN7SL359P,0,0,0,0,1,0,3,0
ENSG00000204120.14|GIGYF2,966,954,806,1118,689,762,804,937
ENSG00000213055.3|EEF1B2P7,0,2,0,0,0,0,0,2
ENSG00000241409.1|AC064852.1,0,1,0,2,1,0,1,0
ENSG00000115474.6|KCNJ13,1,1,1,3,0,1,0,1
ENSG00000252452.1|RNU6-107P,0,0,0,0,0,0,0,0
ENSG00000199781.1|RF00019,0,0,0,0,0,0,0,0
ENSG00000182600.9|SNORC,0,1,2,7,3,0,2,3
ENSG00000066248.14|NGEF,23,38,40,57,20,6,71,125
ENSG00000222001.2|AC106876.1,0,0,0,0,0,0,0,0
ENSG00000115488.3|NEU2,0,0,0,0,0,0,0,0
ENSG00000168918.13|INPP5D,14,7,9,3,7,10,13,12
ENSG00000263941.2|RN7SL32P,0,1,1,2,4,2,0,0
ENSG00000085978.21|ATG16L1,365,388,412,552,326,351,479,526
ENSG00000252010.1|SCARNA5,1,0,1,1,4,0,2,0
ENSG00000251791.1|SCARNA6,0,0,0,0,1,0,0,0
ENSG00000130561.16|SAG,5,12,8,10,12,6,15,12
ENSG00000259793.1|AC013726.1,5,3,0,2,1,3,0,1
ENSG00000077044.10|DGKD,180,226,864,1307,194,281,591,1127
ENSG00000201013.1|RF00019,0,0,0,1,0,0,0,0
ENSG00000085982.13|USP40,465,396,275,394,318,329,187,243
ENSG00000271639.1|AC019072.1,0,0,0,1,0,0,0,0
ENSG00000228949.1|UGT1A12P,0,0,0,0,0,0,0,0
ENSG00000227846.1|UGT1A11P,0,0,0,0,0,0,0,0
ENSG00000242366.3|UGT1A8,0,0,0,0,0,0,0,0
ENSG00000242515.5|UGT1A10,0,0,1,0,0,0,0,0
ENSG00000234143.1|UGT1A13P,0,0,0,0,0,0,0,0
ENSG00000241119.1|UGT1A9,0,0,0,0,0,0,0,0
ENSG00000244122.2|UGT1A7,0,0,0,0,1,0,0,0
ENSG00000167165.18|UGT1A6,0,0,0,0,0,0,0,0
ENSG00000224814.1|AC114812.2,0,0,0,0,1,0,0,0
ENSG00000240224.1|UGT1A5,0,0,0,0,0,0,0,0
ENSG00000244474.5|UGT1A4,0,0,0,0,0,0,0,0
ENSG00000233445.1|RPL17P11,0,0,0,0,0,0,0,0
ENSG00000243135.6|UGT1A3,0,0,0,0,0,0,0,0
ENSG00000248114.1|AC114812.3,0,0,0,0,0,0,0,0
ENSG00000227802.1|DNAJB3,0,0,0,0,0,0,0,0
ENSG00000228445.1|UGT1A2P,0,0,0,0,0,0,0,0
ENSG00000248705.1|AC114812.4,0,0,0,0,0,0,0,0
ENSG00000178836.6|AC114812.1,0,0,0,0,0,0,0,0
ENSG00000241635.7|UGT1A1,2,3,0,6,1,1,0,1
ENSG00000185038.14|MROH2A,0,0,0,0,0,0,0,0
ENSG00000123485.11|HJURP,1001,1049,204,280,911,895,56,61
ENSG00000224287.2|MSL3P1,57,21,31,45,27,40,37,55
ENSG00000279809.1|AC005538.2,17,36,42,71,22,13,18,48
ENSG00000144481.16|TRPM8,1,2,0,6,3,7,2,5
ENSG00000237581.1|AC005538.1,0,0,0,0,0,0,0,0
ENSG00000072080.10|SPP2,3,3,0,2,5,1,0,0
ENSG00000279218.1|AC006037.2,0,0,0,0,0,0,0,0
ENSG00000226442.2|AC006037.1,0,0,0,1,0,0,0,0
ENSG00000261298.1|AC122134.1,0,0,0,0,0,0,0,0
ENSG00000237784.1|AC097713.2,0,0,2,1,0,0,0,0
ENSG00000228162.1|AC097713.1,0,0,0,0,0,0,0,0
ENSG00000231682.1|LINC01891,0,0,0,0,0,0,0,0
ENSG00000232690.1|HSPE1P9,0,0,0,0,0,0,0,0
ENSG00000188042.7|ARL4C,40,58,38,64,39,18,54,57
ENSG00000280744.1|LINC01173,1,1,3,1,1,3,0,0
ENSG00000278593.1|AC104394.1,0,0,1,0,0,0,0,0
ENSG00000235726.5|AC010148.1,2,0,0,3,1,2,0,2
ENSG00000130147.15|SH3BP4,784,840,267,472,1452,1285,449,841
ENSG00000226542.1|AC114814.1,1,0,1,1,0,0,1,0
ENSG00000231032.1|AC114814.2,0,0,0,0,0,0,0,0
ENSG00000235293.1|AC114814.3,0,0,0,0,0,0,0,0
ENSG00000157985.18|AGAP1,78,87,105,185,94,63,119,105
ENSG00000235529.1|AGAP1-IT1,0,1,8,17,0,0,4,4
ENSG00000222007.6|AC064874.1,0,0,0,0,1,0,0,0
ENSG00000228499.1|TMSB10P1,2,0,0,0,2,1,1,0
ENSG00000238812.1|RNU7-127P,0,0,0,0,0,0,0,0
ENSG00000264676.2|RN7SL204P,2,0,3,0,1,2,4,3
ENSG00000207049.1|RF00019,0,0,0,0,0,0,0,0
ENSG00000168505.6|GBX2,0,3,1,3,3,2,1,3
ENSG00000233611.3|AC019068.1,2,1,0,1,0,0,1,0
ENSG00000182177.14|ASB18,1,2,3,6,6,1,3,3
ENSG00000200745.1|RNU1-31P,0,0,0,0,0,0,0,0
ENSG00000132321.16|IQCA1,2,0,2,0,1,0,0,1
ENSG00000270540.1|AC093915.1,0,0,0,0,0,0,0,0
ENSG00000232893.1|IQCA1-AS1,0,0,2,2,0,0,0,2
ENSG00000231546.1|RPL3P5,0,0,0,1,0,0,1,1
ENSG00000144476.5|ACKR3,44,65,7,15,0,2,2,1
ENSG00000232328.1|AC084030.1,0,0,0,0,0,0,0,0
ENSG00000202341.1|RNU6-1051P,0,0,0,0,0,0,0,0
ENSG00000124835.2|AC105760.1,0,0,0,0,1,1,0,0
ENSG00000227252.1|AC105760.2,16,32,9,13,20,15,20,13
ENSG00000198612.10|COPS8,3962,3994,1643,2310,2331,2900,1327,1506
ENSG00000224844.1|AC107079.1,0,0,0,0,0,1,0,0
ENSG00000224132.2|AC112715.1,1,1,1,0,4,1,1,0
ENSG00000163359.15|COL6A3,660,638,657,1181,2143,1468,1811,4670
ENSG00000222022.1|AC112721.1,19,16,19,24,28,16,134,120
ENSG00000222032.1|AC112721.2,23,19,17,34,25,15,134,107
ENSG00000115648.13|MLPH,187,185,100,139,1469,1264,1242,1114
ENSG00000277842.1|MIR6811,0,0,0,0,0,0,0,1
ENSG00000222449.1|RNU6-1140P,0,0,0,0,0,0,0,0
ENSG00000071677.1|PRLH,0,0,0,0,0,0,0,0
ENSG00000124839.12|RAB17,7,7,13,27,0,4,12,8
ENSG00000234949.2|AC104667.2,1,2,2,0,0,2,7,2
ENSG00000227107.1|AC104667.1,2,0,1,1,0,1,2,1
ENSG00000124831.18|LRRFIP1,1208,1172,2367,3384,1334,979,2266,2434
ENSG00000177483.11|RBM44,1,1,5,6,2,4,4,0
ENSG00000132329.10|RAMP1,417,448,1296,1590,490,218,570,526
ENSG00000263723.1|RF00157,0,0,0,0,0,0,0,0
ENSG00000184182.18|UBE2F,878,850,992,1430,978,926,1222,1105
ENSG00000258984.5|UBE2F-SCLY,4,0,24,40,0,49,2,56
ENSG00000251971.1|RNU6-1333P,0,0,0,0,1,0,0,0
ENSG00000132330.16|SCLY,186,216,237,406,228,233,175,191
ENSG00000144488.14|ESPNL,20,26,9,9,174,206,107,138
ENSG00000168427.8|KLHL30,296,324,1421,2049,88,120,1314,1162
ENSG00000279484.1|KLHL30-AS1,30,26,47,58,1,9,31,31
ENSG00000178752.15|ERFE,40,48,29,29,124,41,28,15
ENSG00000132323.8|ILKAP,656,681,424,662,651,634,472,500
ENSG00000186235.10|AC016757.1,1,5,1,0,4,6,8,5
ENSG00000225057.2|AC012485.1,0,0,1,0,0,1,9,6
ENSG00000144485.10|HES6,84,99,146,268,73,90,4369,2233
ENSG00000132326.11|PER2,149,135,115,162,44,47,63,62
ENSG00000283635.1|AC012485.3,3,1,0,4,3,2,3,7
ENSG00000232306.2|AC012485.2,0,0,0,0,0,0,0,0
ENSG00000204104.11|TRAF3IP1,83,70,44,70,88,58,70,70
ENSG00000202099.1|RNU6-234P,0,0,0,0,0,0,0,0
ENSG00000065802.11|ASB1,258,283,569,985,578,379,583,1019
ENSG00000229915.1|AC016999.1,0,0,0,0,1,0,0,1
ENSG00000274346.1|AC016999.2,0,0,0,0,2,0,0,1
ENSG00000225493.1|LINC01107,0,1,1,0,0,0,0,1
ENSG00000234279.1|LINC01937,0,0,0,0,1,0,0,0
ENSG00000224252.1|AC113618.1,0,0,0,0,0,0,0,0
ENSG00000226992.1|AC145625.1,0,0,0,0,0,0,0,0
ENSG00000233608.3|TWIST2,31,29,8,15,248,167,183,259
ENSG00000227744.4|LINC01940,0,1,0,0,1,4,3,4
ENSG00000068024.16|HDAC4,208,209,172,334,253,218,277,471
ENSG00000266109.1|MIR4440,0,0,0,0,1,0,0,0
ENSG00000264810.1|MIR4441,0,0,0,0,0,0,0,0
ENSG00000265215.1|MIR4269,0,1,0,0,0,0,0,1
ENSG00000264292.1|MIR2467,0,0,0,1,0,0,0,0
ENSG00000222020.2|AC062017.1,4,4,2,1,11,8,6,2
ENSG00000196758.3|AC079612.1,0,0,0,0,0,0,0,0
ENSG00000227459.1|AC079612.2,0,0,0,0,0,0,0,0
ENSG00000259889.1|AC093802.2,0,0,0,0,0,0,0,0
ENSG00000220256.3|AC093802.1,0,0,1,2,1,0,0,0
ENSG00000130414.11|NDUFA10,1633,1754,1401,1961,1540,1731,1409,1341
ENSG00000264279.1|MIR4786,0,0,0,0,0,0,0,0
ENSG00000182083.7|OR6B2,0,0,0,0,0,0,0,0
ENSG00000178586.5|OR6B3,0,0,0,0,0,0,0,0
ENSG00000231278.1|OR9S24P,0,0,0,0,0,0,0,0
ENSG00000213048.3|OR5S1P,0,0,0,1,0,0,0,0
ENSG00000172428.10|COPS9,780,857,780,1081,932,701,758,699
ENSG00000178602.7|OTOS,0,0,0,0,0,0,0,0
ENSG00000227479.1|AC124861.1,0,0,0,0,0,0,0,1
ENSG00000276366.1|RF00012,0,0,0,0,0,0,0,0
ENSG00000063660.8|GPC1,454,584,2862,3745,1703,751,8647,10191
ENSG00000218416.4|AC110619.1,0,0,1,0,0,1,1,2
ENSG00000207611.1|MIR149,0,0,0,0,0,0,0,0
ENSG00000144504.15|ANKMY1,68,74,36,53,69,57,49,57
ENSG00000188542.9|DUSP28,80,88,367,481,71,56,242,197
ENSG00000142327.12|RNPEPL1,80,96,80,147,272,97,125,120
ENSG00000260942.1|CAPN10-DT,14,10,15,28,47,30,45,18
ENSG00000142330.19|CAPN10,15,24,27,51,110,28,90,52
ENSG00000178623.11|GPR35,1,3,4,7,4,5,8,7
ENSG00000276949.1|AC011298.3,0,0,0,0,0,0,0,0
ENSG00000185176.12|AQP12B,0,0,0,0,0,0,0,0
ENSG00000219159.4|AC011298.1,0,0,0,0,0,0,0,0
ENSG00000184945.13|AQP12A,0,0,0,0,0,0,0,0
ENSG00000274977.1|AC011298.2,0,0,0,0,0,0,0,0
ENSG00000130294.16|KIF1A,1,1,14,7,2,7,57,49
ENSG00000172482.4|AGXT,15,7,12,24,11,14,43,43
ENSG00000172478.17|MAB21L4,1,0,0,0,0,0,1,1
ENSG00000226321.5|CROCC2,0,0,1,0,1,1,1,0
ENSG00000233392.5|AC104809.2,0,0,0,0,0,2,3,0
ENSG00000223991.1|AC104809.1,0,0,0,0,0,0,0,0
ENSG00000162804.13|SNED1,208,200,36,68,254,177,183,139
ENSG00000229996.1|AC093585.1,0,0,0,0,1,0,0,0
ENSG00000225521.1|AC005237.1,0,0,0,0,2,0,0,0
ENSG00000122085.16|MTERF4,354,359,287,355,304,387,274,322
ENSG00000115687.13|PASK,45,61,23,30,84,83,13,15
ENSG00000235861.1|AC005237.2,0,0,0,0,0,0,0,0
ENSG00000115685.14|PPP1R7,730,717,1134,1639,748,674,668,827
ENSG00000146205.13|ANO7,22,17,15,12,22,48,16,20
ENSG00000115677.16|HDLBP,9236,9794,7455,10988,8449,10713,7707,9509
ENSG00000168385.17|SEPT2,7720,7860,4463,6368,3926,6447,3921,5156
ENSG00000223374.1|AC005104.1,0,0,0,1,0,0,1,4
ENSG00000006607.13|FARP2,561,575,454,632,319,459,229,466
ENSG00000263752.1|MIR3133,0,0,1,0,0,0,0,0
ENSG00000224232.1|AC005104.2,2,3,0,1,1,0,0,2
ENSG00000115694.14|STK25,844,964,1111,1568,2595,1563,3176,2753
ENSG00000234235.1|BOK-AS1,1,4,3,1,3,1,1,2
ENSG00000176720.5|BOK,507,643,547,781,1010,646,1446,1238
ENSG00000273113.1|AC133528.1,1,0,1,1,1,3,2,1
ENSG00000176946.11|THAP4,466,535,393,507,946,771,582,716
ENSG00000207186.1|RNA5SP122,1,0,0,0,0,0,0,0
ENSG00000168397.16|ATG4B,738,817,848,1213,1067,944,1088,962
ENSG00000168393.12|DTYMK,1257,1288,465,612,2232,1629,528,482
ENSG00000168395.15|ING5,143,192,112,197,227,212,160,222
ENSG00000235351.1|AC114730.3,0,0,0,0,0,0,0,0
ENSG00000180902.17|D2HGDH,75,123,129,269,243,296,281,236
ENSG00000215692.2|AC114730.1,0,0,2,2,0,0,0,0
ENSG00000234793.1|AC114730.2,0,0,0,1,0,0,0,0
ENSG00000154252.11|GAL3ST2,0,0,0,0,1,0,0,2
ENSG00000215023.2|AC131097.1,0,0,0,1,1,4,0,0
ENSG00000224272.2|AC131097.3,5,1,7,9,0,0,19,10
ENSG00000204099.11|NEU4,44,54,221,248,2,2,579,497
ENSG00000235151.1|AC131097.4,0,3,3,5,0,2,19,7
ENSG00000188389.10|PDCD1,0,0,0,3,0,0,1,0
ENSG00000188011.5|RTP5,0,0,0,0,0,0,0,2
ENSG00000233806.7|LINC01237,0,1,1,0,4,1,5,2
ENSG00000216921.8|AC131097.2,20,30,2,5,6,18,19,8
ENSG00000237940.3|LINC01238,3,6,3,7,3,1,7,7
ENSG00000280119.1|AC093642.2,1,2,1,0,8,0,0,0
ENSG00000226423.1|AC093642.1,0,0,1,1,1,0,2,1
ENSG00000232002.1|LINC01880,0,0,0,0,0,0,0,0
ENSG00000261186.2|LINC01238,0,0,1,0,0,0,0,1
ENSG00000220804.8|LINC01881,12,11,7,10,22,6,13,17
ENSG00000224160.1|CICP10,0,0,0,0,0,0,0,0
ENSG00000244528.1|SEPT14P2,0,0,0,0,0,0,0,0
ENSG00000271153.1|RPL23AP88,0,3,0,0,0,0,0,1
6953|NULL,0,0,0,0,0,0,0,0
6954|NULL,0,0,0,0,0,0,0,0
10904|NULL,0,0,0,0,0,0,1,0
19496|NULL,0,0,1,1,0,0,0,0
19747|NULL,0,0,0,0,0,0,0,0
19843|NULL,0,0,0,0,0,0,0,0
20044|NULL,0,0,0,0,0,0,0,0
20259|NULL,0,0,0,0,0,0,0,0
23898|NULL,0,0,0,0,0,0,0,0
24173|NULL,0,0,0,0,0,0,0,0
26221|NULL,0,0,0,0,0,0,0,0
26864|NULL,0,0,0,0,0,0,0,0
26901|NULL,0,0,0,0,0,0,0,0
26902|NULL,0,0,0,0,0,0,0,0
26986|NULL,0,0,0,0,0,0,0,0
26988|NULL,1,0,0,0,0,1,0,1
26989|NULL,0,0,0,0,0,0,0,0
27656|NULL,0,0,0,0,0,0,0,0
28032|NULL,0,0,0,0,0,0,0,0
28611|NULL,0,0,0,0,0,0,0,0
28612|NULL,0,0,0,0,0,0,0,0
28858|NULL,0,0,0,0,0,0,0,0
29501|NULL,0,0,0,0,0,0,0,0
30128|NULL,0,0,0,0,0,0,0,0
30129|NULL,0,0,0,0,0,0,0,0
36013|NULL,0,0,0,0,0,0,1,0
36014|NULL,0,0,0,0,0,0,0,0
36015|NULL,0,0,0,0,0,0,0,0
ENSG00000223587.1|LINC01986,0,0,0,0,0,0,0,0
ENSG00000224918.1|AC066595.1,0,0,0,0,0,0,0,0
ENSG00000224318.5|CHL1-AS2,0,0,0,0,1,2,0,0
