,Control_78_Day_0_Rep3,Control_78_Day_0_Rep4,Control_78_Day_3_Rep1,Control_78_Day_3_Rep2,FSHD2_19_Day_0_Rep1,FSHD2_19_Day_0_Rep2,FSHD2_19_Day_3_Rep1,FSHD2_19_Day_3_Rep2
ENSG00000230415.1|LINC01786,0,0,1,1,4,1,0,1
ENSG00000162572.20|SCNN1D,9,12,7,11,14,7,14,6
ENSG00000131584.18|ACAP3,34,40,52,150,319,216,198,318
ENSG00000278073.1|MIR6726,0,0,0,0,0,0,0,0
ENSG00000169972.11|PUSL1,183,238,187,244,528,367,378,323
ENSG00000127054.20|INTS11,1302,1515,875,1271,1437,1563,1032,1053
ENSG00000283712.1|MIR6727,0,0,0,0,0,0,0,0
ENSG00000240731.1|AL139287.1,1,1,1,4,2,2,2,2
ENSG00000224051.6|CPTP,43,70,42,65,259,130,114,177
ENSG00000169962.4|TAS1R3,1,2,1,2,2,2,2,1
ENSG00000107404.19|DVL1,46,61,34,77,521,95,367,136
ENSG00000284372.1|MIR6808,0,0,0,0,0,0,0,0
ENSG00000162576.16|MXRA8,3880,4977,1951,3585,6063,6591,3662,2830
ENSG00000175756.13|AURKAIP1,1169,1271,951,1290,1997,1362,1046,948
ENSG00000223663.2|NDUFB4P8,0,0,0,0,0,0,0,0
ENSG00000221978.11|CCNL2,534,627,763,1681,1265,1013,1809,1411
ENSG00000224870.6|AL391244.1,308,387,289,388,263,295,269,285
ENSG00000242485.5|MRPL20,1180,1211,1070,1625,1578,1386,1322,1332
ENSG00000264293.2|RN7SL657P,0,0,0,2,2,1,0,2
ENSG00000272455.1|AL391244.3,46,38,39,63,64,25,48,42
ENSG00000235098.8|ANKRD65,17,31,9,7,1,13,25,11
ENSG00000225905.1|AL391244.2,0,0,0,0,0,0,0,0
ENSG00000205116.3|TMEM88B,0,0,0,0,0,0,0,0
ENSG00000225285.1|LINC01770,2,4,1,0,2,2,5,1
ENSG00000179403.11|VWA1,32,24,14,7,11,15,18,17
ENSG00000215915.9|ATAD3C,5,9,4,4,11,9,6,5
ENSG00000160072.19|ATAD3B,131,155,148,223,413,210,251,413
