gene_name,TC_M_43_1,TC_M_43_2,TC_F_21_1,ATC_M_43_2,ATC_M_43_1,ATC_F_21_3,ATC_F_21_4,ATC_F_21_1,ATC_F_21_2
KLF3,3340.0,3238.0,3266.0,566.0,506.0,455.0,457.0,420.0,377.0
KLHL5,517.0,592.0,516.0,1441.0,1179.0,912.0,956.0,871.0,836.0
FAM149A,5.0,11.0,22.0,11.0,9.0,16.0,30.0,37.0,15.0
NCAPG,27.0,19.0,33.0,3080.0,2557.0,3385.0,3564.0,3156.0,2953.0
UGDH,162.0,152.0,157.0,898.0,799.0,899.0,867.0,813.0,744.0
PPARGC1A,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0
DDX25,2.0,3.0,0.0,4.0,2.0,11.0,5.0,6.0,4.0
CRYAB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
DBX1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
HTATIP2,239.0,222.0,177.0,1434.0,1238.0,1327.0,1274.0,1165.0,1100.0
CTSC,1010.0,929.0,791.0,1534.0,1487.0,1194.0,1235.0,1117.0,1091.0
CCDC34,25.0,21.0,39.0,290.0,246.0,378.0,384.0,377.0,367.0
ZBTB16,195.0,228.0,361.0,135.0,115.0,107.0,79.0,107.0,100.0
ELP4,497.0,550.0,596.0,663.0,569.0,764.0,798.0,687.0,638.0
ZPR1,1889.0,1917.0,1778.0,1925.0,1543.0,2037.0,2122.0,2012.0,1857.0
MTCH2,289.0,239.0,253.0,721.0,626.0,743.0,757.0,664.0,633.0
FNBP4,4187.0,4442.0,4401.0,4224.0,3653.0,3766.0,4291.0,3753.0,3630.0
TECTA,15.19,28.72,24.69,30.47,24.6,50.73,31.0,45.36,32.47
SC5D,411.0,353.0,689.0,495.0,365.0,340.0,462.0,411.0,365.0
CRTAM,218.0,215.0,182.0,414.0,297.0,263.0,256.0,234.0,228.0
JHY,125.0,108.0,65.0,194.0,165.0,148.0,178.0,142.0,127.0
B3GAT1,242.0,227.0,42.0,28.0,27.0,6.0,3.0,7.0,8.0
HSPA8,12741.0,12318.0,13770.99,21110.0,18147.0,20569.0,21925.0,20129.0,18505.0
P2RX3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
VWA5A,151.0,145.0,125.0,718.0,578.0,544.0,499.0,528.0,486.0
DNAJC4,416.23,393.25,349.56,728.18,596.69,605.62,589.43,599.18,539.68
SIAE,114.0,126.0,190.0,318.0,244.0,369.0,359.0,389.0,322.0
SNX15,308.0,267.0,238.0,793.4,733.0,857.0,901.0,797.0,721.0
LPXN,1241.0,1192.0,1125.0,2555.0,2237.0,2223.0,2330.0,2114.0,1970.0
DTX4,55.0,48.0,34.0,1.0,11.0,6.0,16.0,7.0,10.0
ATG2A,3950.0,4145.0,2340.0,1458.0,1272.0,1103.0,1071.0,956.0,911.0
EHD1,3981.0,3881.0,2365.0,3774.0,3181.0,3559.0,3731.0,3499.0,3118.0
OSBP,1609.0,1646.0,1370.0,3858.0,3476.0,4043.0,4292.0,3878.0,3479.0
UNC93B1,346.5,352.62,235.57,348.73,275.92,218.65,208.22,205.91,194.55
PUS3,72.0,80.0,64.0,303.0,230.0,374.0,332.0,288.0,265.0
DCPS,171.0,186.0,160.0,603.0,572.0,671.0,708.0,629.0,600.0
KMT5B,867.0,863.0,821.0,899.0,846.0,988.0,1106.0,950.0,904.0
FOXRED1,245.0,306.0,311.0,617.0,539.0,739.0,863.0,762.0,731.0
PPP6R3,3068.0,2961.0,2901.0,4528.0,4075.0,3973.0,4103.0,3989.0,3549.0
NRXN2,4.0,2.0,1.0,5.0,10.0,17.0,11.0,4.0,7.0
