gene_name
SLC38A1
CCNA1
KHDC1L
MBD3L3
LEUTX
MBD3L2
CTB-25J19.1
ZNF596
RP11-432M8.17
ZSCAN4
TRIM43B
TRIM43
SLC34A2
CTD-2035E11.4
PRAMEF12
RP11-490B18.9
RFPL4B
RFPL2
PRAMEF9
PRAMEF12
DUXA
PRAMEF2
PRAMEF8
RFPL4A
RFPL4A1
TRIM49
PRAMEF5
RP11-432M8.9
PRAMEF6
HNRNPCL3
PRAMEF14
PRAMEF15
PRAMEF25
ZNF296
VMO1
MBD3L5
RP11-437G21.2
RFPL1
PRAMEF13
RP11-257K9.8
PRAMEF27
DUXB
RP11-437G21.1
PRAMEF17
PRAMEF19
PRAMEF26
RBP7
